# {'li': -1, 'lf': -1, 'xc': -2e-08, 'yc': -2e-08}
# omega	gamma
3.000000000000000000e+15 3.030497310020260904e-02
3.016666666666666500e+15 3.109819557634934881e-02
3.033333333333333500e+15 3.192325075165749343e-02
3.050000000000000000e+15 3.278191230107799226e-02
3.066666666666666500e+15 3.367607940542424738e-02
3.083333333333333500e+15 3.460778757003916961e-02
3.100000000000000000e+15 3.557922054593810196e-02
3.116666666666666500e+15 3.659272348342771514e-02
3.133333333333333500e+15 3.765081746564812731e-02
3.150000000000000000e+15 3.875621558957155488e-02
3.166666666666666500e+15 3.991184078514430772e-02
3.183333333333333000e+15 4.112084559001555339e-02
3.200000000000000000e+15 4.238663412826462057e-02
3.216666666666666500e+15 4.371288657747401940e-02
3.233333333333333000e+15 4.510358645026416036e-02
3.250000000000000000e+15 4.656305106507908909e-02
3.266666666666666500e+15 4.809596563784414303e-02
3.283333333333333000e+15 4.970742149263979170e-02
3.300000000000000000e+15 5.140295896758314415e-02
3.316666666666666500e+15 5.318861568389393613e-02
3.333333333333333000e+15 5.507098095434792562e-02
3.349999999999999500e+15 5.705725723525182508e-02
3.366666666666666500e+15 5.915532967768950129e-02
3.383333333333333000e+15 6.137384501399666820e-02
3.399999999999999500e+15 6.372230123016041359e-02
3.416666666666666500e+15 6.621114973152081307e-02
3.433333333333333000e+15 6.885191201681714612e-02
3.449999999999999500e+15 7.165731324556637305e-02
3.466666666666667000e+15 7.464143552994237374e-02
3.483333333333333500e+15 7.781989432219718617e-02
3.500000000000000000e+15 8.121004192403327715e-02
3.516666666666667000e+15 8.483120294259881289e-02
3.533333333333333500e+15 8.870494749342781871e-02
3.550000000000000000e+15 9.285540914733567130e-02
3.566666666666667000e+15 9.730965609134578642e-02
3.583333333333333500e+15 1.020981257936798281e-01
3.600000000000000000e+15 1.072551357198196914e-01
3.616666666666667000e+15 1.128194854561142407e-01
3.633333333333333500e+15 1.188351691081272754e-01
3.650000000000000000e+15 1.253522212447556461e-01
3.666666666666667000e+15 1.324277252045384101e-01
3.683333333333333500e+15 1.401270195900408688e-01
3.700000000000000000e+15 1.485251476691100136e-01
3.716666666666667000e+15 1.577086057243845818e-01
3.733333333333333500e+15 1.677774608563342706e-01
3.750000000000000000e+15 1.788479272764222638e-01
3.766666666666667000e+15 1.910555139272311076e-01
3.783333333333333500e+15 2.045588868848779440e-01
3.800000000000000000e+15 2.195446294123100939e-01
3.816666666666666500e+15 2.362331332164513131e-01
3.833333333333333000e+15 2.548859194268970341e-01
3.850000000000000000e+15 2.758147705202559363e-01
3.866666666666666500e+15 2.993931584295906889e-01
3.883333333333333000e+15 3.260705821507066116e-01
3.900000000000000000e+15 3.563905800893543141e-01
3.916666666666666500e+15 3.910133504853254283e-01
3.933333333333333000e+15 4.307440729034361926e-01
3.950000000000000000e+15 4.765681146212437103e-01
3.966666666666666500e+15 5.296941943923042517e-01
3.983333333333333000e+15 5.916059841030403277e-01
4.000000000000000000e+15 6.641209965669470083e-01
4.016666666666666500e+15 7.494518453200034180e-01
4.033333333333333000e+15 8.502570224757137751e-01
4.050000000000000500e+15 9.696525692095854243e-01
4.066666666666667000e+15 1.111126439559602996e+00
4.083333333333333500e+15 1.278245895844299485e+00
4.100000000000000500e+15 1.473969226397203514e+00
4.116666666666667000e+15 1.699280931857838350e+00
4.133333333333333500e+15 1.950846524452281905e+00
4.150000000000000500e+15 2.217662046412941290e+00
4.166666666666667000e+15 2.477656588010079819e+00
4.183333333333333500e+15 2.697036049654370604e+00
4.200000000000000500e+15 2.836425461209041377e+00
4.216666666666667000e+15 2.864986026096656868e+00
4.233333333333333500e+15 2.775508266589050699e+00
4.250000000000000500e+15 2.588546501661655785e+00
4.266666666666667000e+15 2.341778424176871098e+00
4.283333333333333500e+15 2.073806235534920717e+00
4.300000000000000500e+15 1.813409617768118265e+00
4.316666666666666500e+15 1.577115877280211853e+00
4.333333333333333500e+15 1.371743557970500627e+00
4.350000000000000500e+15 1.198106569170241276e+00
4.366666666666666500e+15 1.053981164455587205e+00
4.383333333333333500e+15 9.359477640324713743e-01
4.400000000000000000e+15 8.403250758637738071e-01
4.416666666666666500e+15 7.635037861319832198e-01
4.433333333333333500e+15 7.019213600029865496e-01
4.450000000000000000e+15 6.518767577257251755e-01
4.466666666666666500e+15 6.094189792934903149e-01
4.483333333333333500e+15 5.705876868562509419e-01
4.500000000000000000e+15 5.321272108403373169e-01
4.516666666666667000e+15 4.923273064744764227e-01
4.533333333333334000e+15 4.513011421335995088e-01
4.550000000000000000e+15 4.104053961184767063e-01
4.566666666666667000e+15 3.712768150634623843e-01
4.583333333333334000e+15 3.351410930505521191e-01
4.600000000000000000e+15 3.026076043346547229e-01
4.616666666666667000e+15 2.737778304777860328e-01
4.633333333333334000e+15 2.484423177131734883e-01
4.650000000000000000e+15 2.262460932891836030e-01
4.666666666666667000e+15 2.067938257872321550e-01
4.683333333333334000e+15 1.897054092578679407e-01
4.700000000000000000e+15 1.746400702578770059e-01
4.716666666666667000e+15 1.613032474433977459e-01
4.733333333333334000e+15 1.494451478367616326e-01
4.750000000000000000e+15 1.388558966974579034e-01
4.766666666666667000e+15 1.293597593955214953e-01
4.783333333333334000e+15 1.208095687223189607e-01
4.800000000000000000e+15 1.130817999892677339e-01
4.816666666666667000e+15 1.060724038741679004e-01
4.833333333333334000e+15 9.969336054562488725e-02
4.850000000000000000e+15 9.386986403926665667e-02
4.866666666666667000e+15 8.853803420886327546e-02
4.883333333333334000e+15 8.364306026195925114e-02
4.900000000000000000e+15 7.913769305532811216e-02
4.916666666666667000e+15 7.498101755035148364e-02
4.933333333333333000e+15 7.113744986300250817e-02
4.950000000000000000e+15 6.757591444438378059e-02
4.966666666666667000e+15 6.426916602856862226e-02
4.983333333333334000e+15 6.119322828884878052e-02
5.000000000000000000e+15 5.832692693751745372e-02
5.016666666666667000e+15 5.565149957212608967e-02
5.033333333333334000e+15 5.315026816321034853e-02
5.050000000000000000e+15 5.080836290255390936e-02
5.066666666666667000e+15 4.861248835448426370e-02
5.083333333333333000e+15 4.655072460742205875e-02
5.100000000000000000e+15 4.461235751214141787e-02
5.116666666666667000e+15 4.278773319705291706e-02
5.133333333333334000e+15 4.106813293138460164e-02
5.150000000000000000e+15 3.944566511247241808e-02
5.166666666666667000e+15 3.791317172074354369e-02
5.183333333333333000e+15 3.646414704431356207e-02
5.200000000000000000e+15 3.509266684694525157e-02
5.216666666666667000e+15 3.379332645604334051e-02
5.233333333333334000e+15 3.256118649515118285e-02
5.250000000000000000e+15 3.139172518895477770e-02
5.266666666666667000e+15 3.028079633662287759e-02
5.283333333333333000e+15 2.922459218823802996e-02
5.300000000000000000e+15 2.821961057449639057e-02
5.316666666666667000e+15 2.726262573609621737e-02
5.333333333333334000e+15 2.635066237977257489e-02
5.350000000000000000e+15 2.548097255554840693e-02
5.366666666666667000e+15 2.465101500673213403e-02
5.383333333333333000e+15 2.385843669231355393e-02
5.400000000000000000e+15 2.310105622220785804e-02
5.416666666666667000e+15 2.237684898047116039e-02
5.433333333333333000e+15 2.168393374117342023e-02
5.450000000000000000e+15 2.102056060688706901e-02
5.466666666666666000e+15 2.038510012140917066e-02
5.483333333333333000e+15 1.977603342694870744e-02
5.500000000000000000e+15 1.919194335204661359e-02
