# {'li': -1, 'lf': -1, 'xc': 0.0, 'yc': 0.0}
# omega	gamma
3.000000000000000000e+15 9.364994923017069262e-01
3.016666666666666500e+15 9.584007799804148409e-01
3.033333333333333500e+15 9.810468608683331482e-01
3.050000000000000000e+15 1.004472658542358232e+00
3.066666666666666500e+15 1.028715175435145790e+00
3.083333333333333500e+15 1.053813644033918751e+00
3.100000000000000000e+15 1.079809691144910877e+00
3.116666666666666500e+15 1.106747516538924669e+00
3.133333333333333500e+15 1.134674087445461055e+00
3.150000000000000000e+15 1.163639350534885875e+00
3.166666666666666500e+15 1.193696463223042681e+00
3.183333333333333000e+15 1.224902046353817608e+00
3.200000000000000000e+15 1.257316460566757943e+00
3.216666666666666500e+15 1.291004108943346607e+00
3.233333333333333000e+15 1.326033768852511896e+00
3.250000000000000000e+15 1.362478956289888243e+00
3.266666666666666500e+15 1.400418326433791272e+00
3.283333333333333000e+15 1.439936114632851982e+00
3.300000000000000000e+15 1.481122622606276584e+00
3.316666666666666500e+15 1.524074755290498295e+00
3.333333333333333000e+15 1.568896614520552513e+00
3.349999999999999500e+15 1.615700156608694815e+00
3.366666666666666500e+15 1.664605921898037355e+00
3.383333333333333000e+15 1.715743845551297664e+00
3.399999999999999500e+15 1.769254160214871030e+00
3.416666666666666500e+15 1.825288402814104982e+00
3.433333333333333000e+15 1.884010539632255954e+00
3.449999999999999500e+15 1.945598226058695923e+00
3.466666666666667000e+15 2.010244220028893469e+00
3.483333333333333500e+15 2.078157971302347917e+00
3.500000000000000000e+15 2.149567412437417779e+00
3.516666666666667000e+15 2.224720981748724569e+00
3.533333333333333500e+15 2.303889913830364566e+00
3.550000000000000000e+15 2.387370839589882721e+00
3.566666666666667000e+15 2.475488745406590141e+00
3.583333333333333500e+15 2.568600350306762259e+00
3.600000000000000000e+15 2.667097971321364724e+00
3.616666666666667000e+15 2.771413960942293642e+00
3.633333333333333500e+15 2.882025817436530080e+00
3.650000000000000000e+15 2.999462089497728634e+00
3.666666666666667000e+15 3.124309222315245993e+00
3.683333333333333500e+15 3.257219523910636738e+00
3.700000000000000000e+15 3.398920470193513843e+00
3.716666666666667000e+15 3.550225616769854931e+00
3.733333333333333500e+15 3.712047447879611717e+00
3.750000000000000000e+15 3.885412571555820982e+00
3.766666666666667000e+15 4.071479769862462739e+00
3.783333333333333500e+15 4.271561539934157992e+00
3.800000000000000000e+15 4.487149923290045805e+00
3.816666666666666500e+15 4.719947627428133785e+00
3.833333333333333000e+15 4.971905707402100916e+00
3.850000000000000000e+15 5.245269410911888919e+00
3.866666666666666500e+15 5.542634215487050042e+00
3.883333333333333000e+15 5.867014617851600278e+00
3.900000000000000000e+15 6.221928885811712107e+00
3.916666666666666500e+15 6.611503747533118869e+00
3.933333333333333000e+15 7.040603825327232279e+00
3.950000000000000000e+15 7.514991379972564722e+00
