# {'li': -1, 'lf': -1, 'xc': 2.5e-08, 'yc': 2.5e-08}
# omega	gamma
3.000000000000000000e+15 5.321172629420298228e-02
3.016666666666666500e+15 5.451764963246912010e-02
3.033333333333333500e+15 5.587157043061812683e-02
3.050000000000000000e+15 5.727594671031836782e-02
3.066666666666666500e+15 5.873339754968244508e-02
3.083333333333333500e+15 6.024671605000029434e-02
3.100000000000000000e+15 6.181888354735959323e-02
3.116666666666666500e+15 6.345308520860715173e-02
3.133333333333333500e+15 6.515272716903856842e-02
3.150000000000000000e+15 6.692145538971976115e-02
3.166666666666666500e+15 6.876317643592186335e-02
3.183333333333333000e+15 7.068208040522486191e-02
3.200000000000000000e+15 7.268266626509273243e-02
3.216666666666666500e+15 7.476976989573469456e-02
3.233333333333333000e+15 7.694859517582525177e-02
3.250000000000000000e+15 7.922474849697161425e-02
3.266666666666666500e+15 8.160427714909446184e-02
3.283333333333333000e+15 8.409371208434698874e-02
3.300000000000000000e+15 8.670011564370844193e-02
3.316666666666666500e+15 8.943113491991494524e-02
3.333333333333333000e+15 9.229506153549738023e-02
3.349999999999999500e+15 9.530089873834036995e-02
3.366666666666666500e+15 9.845843686306814113e-02
3.383333333333333000e+15 1.017783383791977109e-01
3.399999999999999500e+15 1.052722339517545291e-01
3.416666666666666500e+15 1.089528311837686114e-01
3.433333333333333000e+15 1.128340380008972244e-01
3.449999999999999500e+15 1.169311029866005325e-01
3.466666666666667000e+15 1.212607753945096900e-01
3.483333333333333500e+15 1.258414880684741166e-01
3.500000000000000000e+15 1.306935671099594409e-01
3.516666666666667000e+15 1.358394728714918120e-01
3.533333333333333500e+15 1.413040777545226945e-01
3.550000000000000000e+15 1.471149873894213311e-01
3.566666666666667000e+15 1.533029131234287523e-01
3.583333333333333500e+15 1.599021054020696997e-01
3.600000000000000000e+15 1.669508596804532008e-01
3.616666666666667000e+15 1.744921090453730450e-01
3.633333333333333500e+15 1.825741208984885677e-01
3.650000000000000000e+15 1.912513190142999808e-01
3.666666666666667000e+15 2.005852572631056929e-01
3.683333333333333500e+15 2.106457775623490902e-01
3.700000000000000000e+15 2.215123925586473808e-01
3.716666666666667000e+15 2.332759436274921550e-01
3.733333333333333500e+15 2.460405976338357892e-01
3.750000000000000000e+15 2.599262623389398397e-01
3.766666666666667000e+15 2.750715214252014706e-01
3.783333333333333500e+15 2.916372172077617009e-01
3.800000000000000000e+15 3.098108439590014918e-01
3.816666666666666500e+15 3.298119595916157998e-01
3.833333333333333000e+15 3.518988809254839922e-01
3.850000000000000000e+15 3.763770010492474283e-01
3.866666666666666500e+15 4.036091597150743282e-01
3.883333333333333000e+15 4.340286120696209560e-01
3.900000000000000000e+15 4.681552778637950718e-01
3.916666666666666500e+15 5.066161071530619342e-01
3.933333333333333000e+15 5.501705502213483090e-01
3.950000000000000000e+15 5.997422204604901941e-01
3.966666666666666500e+15 6.564577801995595818e-01
3.983333333333333000e+15 7.216936312114068386e-01
4.000000000000000000e+15 7.971296886572776241e-01
4.016666666666666500e+15 8.848064487846671877e-01
4.033333333333333000e+15 9.871750071014439021e-01
4.050000000000000500e+15 1.107116559329395455e+00
4.066666666666667000e+15 1.247883146256861586e+00
4.083333333333333500e+15 1.412868027383760827e+00
4.100000000000000500e+15 1.605046920306497205e+00
4.116666666666667000e+15 1.825851868085643037e+00
4.133333333333333500e+15 2.073215809981913793e+00
4.150000000000000500e+15 2.338753563299339699e+00
4.166666666666667000e+15 2.604866352081094849e+00
4.183333333333333500e+15 2.844106421016944886e+00
4.200000000000000500e+15 3.024251075407530909e+00
4.216666666666667000e+15 3.120177842072443308e+00
4.233333333333333500e+15 3.126752326163118045e+00
4.250000000000000500e+15 3.062646383275734685e+00
4.266666666666667000e+15 2.961690077767376916e+00
4.283333333333333500e+15 2.859376580634718223e+00
4.300000000000000500e+15 2.783816495460264218e+00
4.316666666666666500e+15 2.753649634973591276e+00
4.333333333333333500e+15 2.780126060247813058e+00
4.350000000000000500e+15 2.870061239986972268e+00
4.366666666666666500e+15 3.027870679994654868e+00
4.383333333333333500e+15 3.256028700734833414e+00
4.400000000000000000e+15 3.553653997566593503e+00
4.416666666666666500e+15 3.912945181186729293e+00
4.433333333333333500e+15 4.313546400067587605e+00
4.450000000000000000e+15 4.716443944485324558e+00
4.466666666666666500e+15 5.062073416010747451e+00
4.483333333333333500e+15 5.279806822280068701e+00
4.500000000000000000e+15 5.311751727571598636e+00
4.516666666666667000e+15 5.139877373009820616e+00
4.533333333333334000e+15 4.795458889380132206e+00
4.550000000000000000e+15 4.342200819107525867e+00
4.566666666666667000e+15 3.847787560112150729e+00
4.583333333333334000e+15 3.363813179404614218e+00
4.600000000000000000e+15 2.920406982785896943e+00
4.616666666666667000e+15 2.530201238392509655e+00
4.633333333333334000e+15 2.194792809530289546e+00
4.650000000000000000e+15 1.910100542638691890e+00
4.666666666666667000e+15 1.669797730506703548e+00
4.683333333333334000e+15 1.467179452071931012e+00
4.700000000000000000e+15 1.296035191769677963e+00
4.716666666666667000e+15 1.150971108414449828e+00
4.733333333333334000e+15 1.027459143066103087e+00
4.750000000000000000e+15 9.217666279065961366e-01
4.766666666666667000e+15 8.308447343302804988e-01
4.783333333333334000e+15 7.522125261246291883e-01
4.800000000000000000e+15 6.838519208700601926e-01
4.816666666666667000e+15 6.241184206389438494e-01
4.833333333333334000e+15 5.716677533334688643e-01
4.850000000000000000e+15 5.253966877708254879e-01
4.866666666666667000e+15 4.843957499361485897e-01
4.883333333333334000e+15 4.479116211245954271e-01
4.900000000000000000e+15 4.153172753553813767e-01
4.916666666666667000e+15 3.860882443454002888e-01
4.933333333333333000e+15 3.597837113524882113e-01
4.950000000000000000e+15 3.360314045407251093e-01
4.966666666666667000e+15 3.145154814248761754e-01
4.983333333333334000e+15 2.949667723596008928e-01
5.000000000000000000e+15 2.771548897746549667e-01
5.016666666666667000e+15 2.608818180284500077e-01
5.033333333333334000e+15 2.459766827193609895e-01
5.050000000000000000e+15 2.322914633627947700e-01
5.066666666666667000e+15 2.196974637729429414e-01
5.083333333333333000e+15 2.080823936295649323e-01
5.100000000000000000e+15 1.973479451585551936e-01
5.116666666666667000e+15 1.874077726100574215e-01
5.133333333333334000e+15 1.781858008118333003e-01
5.150000000000000000e+15 1.696148036823819094e-01
5.166666666666667000e+15 1.616352051060666872e-01
5.183333333333333000e+15 1.541940636899414852e-01
5.200000000000000000e+15 1.472442101674975301e-01
5.216666666666667000e+15 1.407435119956282621e-01
5.233333333333334000e+15 1.346542443215352769e-01
5.250000000000000000e+15 1.289425502199084139e-01
5.266666666666667000e+15 1.235779761063705295e-01
5.283333333333333000e+15 1.185330706687298674e-01
5.300000000000000000e+15 1.137830376382906183e-01
5.316666666666667000e+15 1.093054343403300765e-01
5.333333333333334000e+15 1.050799092872257146e-01
5.350000000000000000e+15 1.010879731663997944e-01
5.366666666666667000e+15 9.731279847314175391e-02
5.383333333333333000e+15 9.373904378137835891e-02
5.400000000000000000e+15 9.035269926226596748e-02
5.416666666666667000e+15 8.714095057414078527e-02
5.433333333333333000e+15 8.409205867637102594e-02
5.450000000000000000e+15 8.119525347909815893e-02
5.466666666666666000e+15 7.844063954281667306e-02
5.483333333333333000e+15 7.581911229615037606e-02
5.500000000000000000e+15 7.332228345512004086e-02
