# {'li': 1, 'lf': 1, 'xc': 0.0, 'yc': 0.0}
# omega	gamma
3.000000000000000000e+15 9.324500903862726897e-01
3.016666666666666500e+15 9.541946623934234317e-01
3.033333333333333500e+15 9.766761980680386257e-01
3.050000000000000000e+15 9.999291215986370052e-01
3.066666666666666500e+15 1.023989897024033979e+00
3.083333333333333500e+15 1.048897175812933069e+00
3.100000000000000000e+15 1.074691957118864227e+00
3.116666666666666500e+15 1.101417761977819820e+00
3.133333333333333500e+15 1.129120822861218842e+00
3.150000000000000000e+15 1.157850290161190676e+00
3.166666666666666500e+15 1.187658457371060461e+00
3.183333333333333000e+15 1.218601006934724840e+00
3.200000000000000000e+15 1.250737278978121925e+00
3.216666666666666500e+15 1.284130565408440283e+00
3.233333333333333000e+15 1.318848432177346375e+00
3.250000000000000000e+15 1.354963072859291406e+00
3.266666666666666500e+15 1.392551697101920949e+00
3.283333333333333000e+15 1.431696957971244411e+00
3.300000000000000000e+15 1.472487422749231500e+00
3.316666666666666500e+15 1.515018092357511392e+00
3.333333333333333000e+15 1.559390975292218595e+00
3.349999999999999500e+15 1.605715722777602883e+00
3.366666666666666500e+15 1.654110332800119876e+00
3.383333333333333000e+15 1.704701931794055714e+00
3.399999999999999500e+15 1.757627644042415893e+00
3.416666666666666500e+15 1.813035560367890708e+00
3.433333333333333000e+15 1.871085819459110455e+00
3.449999999999999500e+15 1.931951817258608317e+00
3.466666666666667000e+15 1.995821562291651086e+00
3.483333333333333500e+15 2.062899197715508226e+00
3.500000000000000000e+15 2.133406714308974550e+00
3.516666666666667000e+15 2.207585882716219583e+00
3.533333333333333500e+15 2.285700438148279723e+00
3.550000000000000000e+15 2.368038556605040146e+00
3.566666666666667000e+15 2.454915668728581135e+00
3.583333333333333500e+15 2.546677665908498422e+00
3.600000000000000000e+15 2.643704563575586697e+00
3.616666666666667000e+15 2.746414699174680951e+00
3.633333333333333500e+15 2.855269557651256562e+00
3.650000000000000000e+15 2.970779336118727798e+00
3.666666666666667000e+15 3.093509382588085277e+00
3.683333333333333500e+15 3.224087672384977843e+00
3.700000000000000000e+15 3.363213521627037572e+00
3.716666666666667000e+15 3.511667781789554965e+00
3.733333333333333500e+15 3.670324815414010899e+00
3.750000000000000000e+15 3.840166623602007334e+00
3.766666666666667000e+15 4.022299585218782170e+00
3.783333333333333500e+15 4.217974381047151944e+00
3.800000000000000000e+15 4.428609820352208182e+00
3.816666666666666500e+15 4.655821471182785665e+00
3.833333333333333000e+15 4.901456230188731666e+00
3.850000000000000000e+15 5.167634266052216319e+00
3.866666666666666500e+15 5.456800148061985212e+00
3.883333333333333000e+15 5.771785443514531266e+00
3.900000000000000000e+15 6.115885646215970972e+00
3.916666666666666500e+15 6.492954981276771065e+00
3.933333333333333000e+15 6.907523381330684664e+00
3.950000000000000000e+15 7.364940629349600698e+00
3.966666666666666500e+15 7.871553027113315615e+00
3.983333333333333000e+15 8.434917343314769056e+00
4.000000000000000000e+15 9.064053900296881849e+00
4.016666666666666500e+15 9.769732828393685509e+00
4.033333333333333000e+15 1.056476966319039512e+01
4.050000000000000500e+15 1.146426928652649302e+01
4.066666666666667000e+15 1.248568509036417495e+01
4.083333333333333500e+15 1.364843096961236490e+01
4.100000000000000500e+15 1.497257844653717207e+01
4.116666666666667000e+15 1.647591724209530639e+01
4.133333333333333500e+15 1.816854868191765604e+01
4.150000000000000500e+15 2.004479910723436120e+01
4.166666666666667000e+15 2.207464730074084613e+01
4.183333333333333500e+15 2.420159045532037823e+01
4.200000000000000500e+15 2.635762933000372144e+01
4.216666666666667000e+15 2.849962905359604548e+01
4.233333333333333500e+15 3.065071586941109771e+01
4.250000000000000500e+15 3.291620418526920844e+01
4.266666666666667000e+15 3.546217443078239739e+01
4.283333333333333500e+15 3.847819937666808698e+01
4.300000000000000500e+15 4.215220195329332142e+01
4.316666666666666500e+15 4.666549719907624905e+01
4.333333333333333500e+15 5.219909474045486775e+01
4.350000000000000500e+15 5.893890338023024356e+01
4.366666666666666500e+15 6.706940012376645655e+01
4.383333333333333500e+15 7.674511611846176606e+01
4.400000000000000000e+15 8.802602672145580698e+01
4.416666666666666500e+15 1.007612944729868900e+02
4.433333333333333500e+15 1.144179994637573117e+02
4.450000000000000000e+15 1.278986005681563967e+02
4.466666666666666500e+15 1.394838484713757794e+02
4.483333333333333500e+15 1.471133537162704670e+02
4.500000000000000000e+15 1.490919598390108547e+02
4.516666666666667000e+15 1.448976277292716475e+02
4.533333333333334000e+15 1.354671059476930282e+02
4.550000000000000000e+15 1.227000778794608635e+02
4.566666666666667000e+15 1.086168170426564643e+02
4.583333333333334000e+15 9.476170344883499297e+01
4.600000000000000000e+15 8.204196551801564397e+01
4.616666666666667000e+15 7.084415714734905123e+01
4.633333333333334000e+15 6.122542987363536326e+01
4.650000000000000000e+15 5.307256575988497360e+01
4.666666666666667000e+15 4.620411492923688002e+01
4.683333333333334000e+15 4.042613062622984899e+01
4.700000000000000000e+15 3.555834945062377983e+01
4.716666666666667000e+15 3.144398244777617180e+01
4.733333333333334000e+15 2.795134596292756157e+01
4.750000000000000000e+15 2.497190267742047709e+01
4.766666666666667000e+15 2.241704823385514089e+01
4.783333333333334000e+15 2.021474326570791291e+01
4.800000000000000000e+15 1.830645155766829646e+01
4.816666666666667000e+15 1.664453336777462766e+01
4.833333333333334000e+15 1.519010151002604303e+01
4.850000000000000000e+15 1.391129107456949221e+01
4.866666666666667000e+15 1.278187707442877752e+01
4.883333333333334000e+15 1.178017540708820654e+01
4.900000000000000000e+15 1.088817039212109528e+01
4.916666666666667000e+15 1.009082172852663994e+01
4.933333333333333000e+15 9.375512835860861927e+00
4.950000000000000000e+15 8.731610414813678389e+00
4.966666666666667000e+15 8.150111529978651959e+00
4.983333333333334000e+15 7.623359687370641957e+00
5.000000000000000000e+15 7.144815447555244781e+00
5.016666666666667000e+15 6.708870288388923520e+00
5.033333333333334000e+15 6.310694894878428940e+00
5.050000000000000000e+15 5.946114962721694930e+00
5.066666666666667000e+15 5.611509081528539333e+00
5.083333333333333000e+15 5.303724411725636578e+00
5.100000000000000000e+15 5.020006761938636153e+00
5.116666666666667000e+15 4.757942369916686509e+00
5.133333333333334000e+15 4.515409234836220698e+00
5.150000000000000000e+15 4.290536276569055119e+00
5.166666666666667000e+15 4.081668934609702148e+00
5.183333333333333000e+15 3.887340086056044974e+00
5.200000000000000000e+15 3.706245373853620961e+00
