# {'li': 1, 'lf': 1, 'xc': 2.5e-08, 'yc': 2.5e-08}
# omega	gamma
3.000000000000000000e+15 5.171756819625054208e-02
3.016666666666666500e+15 5.290242437604127795e-02
3.033333333333333500e+15 5.412696121761308155e-02
3.050000000000000000e+15 5.539301586227590724e-02
3.066666666666666500e+15 5.670253327725118669e-02
3.083333333333333500e+15 5.805757397305261885e-02
3.100000000000000000e+15 5.946032237540233023e-02
3.116666666666666500e+15 6.091309591616067554e-02
3.133333333333333500e+15 6.241835491502684130e-02
3.150000000000000000e+15 6.397871333194422860e-02
3.166666666666666500e+15 6.559695047942165624e-02
3.183333333333333000e+15 6.727602379441663394e-02
3.200000000000000000e+15 6.901908278132502794e-02
3.216666666666666500e+15 7.082948425103539891e-02
3.233333333333333000e+15 7.271080899633933226e-02
3.250000000000000000e+15 7.466688006137174594e-02
3.266666666666666500e+15 7.670178278265853133e-02
3.283333333333333000e+15 7.881988680203866338e-02
3.300000000000000000e+15 8.102587027775387529e-02
3.316666666666666500e+15 8.332474654983397511e-02
3.333333333333333000e+15 8.572189355024742441e-02
3.349999999999999500e+15 8.822308628782904449e-02
3.366666666666666500e+15 9.083453278367803474e-02
3.383333333333333000e+15 9.356291388561344124e-02
3.399999999999999500e+15 9.641542745161338357e-02
3.416666666666666500e+15 9.939983746355657290e-02
3.433333333333333000e+15 1.025245287157856011e-01
3.449999999999999500e+15 1.057985678203159086e-01
3.466666666666667000e+15 1.092317713845984417e-01
3.483333333333333500e+15 1.128347823518063009e-01
3.500000000000000000e+15 1.166191556517369582e-01
3.516666666666667000e+15 1.205974544973813095e-01
3.533333333333333500e+15 1.247833588839672020e-01
3.550000000000000000e+15 1.291917881112359667e-01
3.566666666666667000e+15 1.338390394647952508e-01
3.583333333333333500e+15 1.387429455699621395e-01
3.600000000000000000e+15 1.439230533853755045e-01
3.616666666666667000e+15 1.494008283513865443e-01
3.633333333333333500e+15 1.551998878715750152e-01
3.650000000000000000e+15 1.613462691121470560e-01
3.666666666666667000e+15 1.678687370881451757e-01
3.683333333333333500e+15 1.747991402111022941e-01
3.700000000000000000e+15 1.821728219555677764e-01
3.716666666666667000e+15 1.900290991325235268e-01
3.733333333333333500e+15 1.984118195258084694e-01
3.750000000000000000e+15 2.073700144674926749e-01
3.766666666666667000e+15 2.169586654444729812e-01
3.783333333333333500e+15 2.272396082240312198e-01
3.800000000000000000e+15 2.382826034886967870e-01
3.816666666666666500e+15 2.501666098607465138e-01
3.833333333333333000e+15 2.629813038077428167e-01
3.850000000000000000e+15 2.768289016305752748e-01
3.866666666666666500e+15 2.918263519282400242e-01
3.883333333333333000e+15 3.081079829045638707e-01
3.900000000000000000e+15 3.258287076264679283e-01
3.916666666666666500e+15 3.451679111127369803e-01
3.933333333333333000e+15 3.663341635378531969e-01
3.950000000000000000e+15 3.895709180783432646e-01
3.966666666666666500e+15 4.151633473686136555e-01
3.983333333333333000e+15 4.434464231653134636e-01
4.000000000000000000e+15 4.748141981766469399e-01
4.016666666666666500e+15 5.097299085899670290e-01
4.033333333333333000e+15 5.487357992021442143e-01
4.050000000000000500e+15 5.924601644390334876e-01
4.066666666666667000e+15 6.416165009415363274e-01
4.083333333333333500e+15 6.969852576061110749e-01
4.100000000000000500e+15 7.593621707178384028e-01
4.116666666666667000e+15 8.294503399037348457e-01
4.133333333333333500e+15 9.076740547773104462e-01
4.150000000000000500e+15 9.939219846806814918e-01
4.166666666666667000e+15 1.087319282437764878e+00
4.183333333333333500e+15 1.186286664473328312e+00
4.200000000000000500e+15 1.289231749358767276e+00
4.216666666666667000e+15 1.395920927168893044e+00
4.233333333333333500e+15 1.508850199919293811e+00
4.250000000000000500e+15 1.633575881574406585e+00
4.266666666666667000e+15 1.777777398394818409e+00
4.283333333333333500e+15 1.949954795932233864e+00
4.300000000000000500e+15 2.158710002680442219e+00
4.316666666666666500e+15 2.412764962243582278e+00
4.333333333333333500e+15 2.721300322702025820e+00
4.350000000000000500e+15 3.094115705422380458e+00
4.366666666666666500e+15 3.541160653748393283e+00
4.383333333333333500e+15 4.070901999750985212e+00
4.400000000000000000e+15 4.686777024192822161e+00
4.416666666666666500e+15 5.380878326697924763e+00
4.433333333333333500e+15 6.124669961015578146e+00
4.450000000000000000e+15 6.859078970290411803e+00
4.466666666666666500e+15 7.491338589334747944e+00
