# {'li': 1, 'lf': 1, 'xc': 2e-08, 'yc': 2e-08}
# omega	gamma
3.000000000000000000e+15 1.632790827728135552e-01
3.016666666666666500e+15 1.670901195566788788e-01
3.033333333333333500e+15 1.710291900957026934e-01
3.050000000000000000e+15 1.751021888776018720e-01
3.066666666666666500e+15 1.793153531839172254e-01
3.083333333333333500e+15 1.836752873156190791e-01
3.100000000000000000e+15 1.881889888405633982e-01
3.116666666666666500e+15 1.928638770580611284e-01
3.133333333333333500e+15 1.977078238973702939e-01
3.150000000000000000e+15 2.027291874910377711e-01
3.166666666666666500e+15 2.079368486912449576e-01
3.183333333333333000e+15 2.133402508279622911e-01
3.200000000000000000e+15 2.189494430423187810e-01
3.216666666666666500e+15 2.247751275677245253e-01
3.233333333333333000e+15 2.308287113756087028e-01
3.250000000000000000e+15 2.371223626528554396e-01
3.266666666666666500e+15 2.436690726351275205e-01
3.283333333333333000e+15 2.504827233852536250e-01
3.300000000000000000e+15 2.575781621798550747e-01
3.316666666666666500e+15 2.649712832520264572e-01
3.333333333333333000e+15 2.726791177345917472e-01
3.349999999999999500e+15 2.807199327594267491e-01
3.366666666666666500e+15 2.891133407956507084e-01
3.383333333333333000e+15 2.978804204561895097e-01
3.399999999999999500e+15 3.070438501712009494e-01
3.416666666666666500e+15 3.166280563222882427e-01
3.433333333333333000e+15 3.266593776577437769e-01
3.449999999999999500e+15 3.371662480718388144e-01
3.466666666666667000e+15 3.481794001368615499e-01
3.483333333333333500e+15 3.597320921333365673e-01
3.500000000000000000e+15 3.718603617409402817e-01
3.516666666666667000e+15 3.846033100416972883e-01
3.533333333333333500e+15 3.980034200619946838e-01
3.550000000000000000e+15 4.121069147579453085e-01
3.566666666666667000e+15 4.269641601500123174e-01
3.583333333333333500e+15 4.426301202634085885e-01
3.600000000000000000e+15 4.591648716614264991e-01
3.616666666666667000e+15 4.766341867080693406e-01
3.633333333333333500e+15 4.951101963116398830e-01
3.650000000000000000e+15 5.146721448413110744e-01
3.666666666666667000e+15 5.354072522472819173e-01
3.683333333333333500e+15 5.574117012438922769e-01
3.700000000000000000e+15 5.807917708483739672e-01
3.716666666666667000e+15 6.056651417498757350e-01
3.733333333333333500e+15 6.321624040949073153e-01
3.750000000000000000e+15 6.604288045437143317e-01
3.766666666666667000e+15 6.906262771634108510e-01
3.783333333333333500e+15 7.229358122359247352e-01
3.800000000000000000e+15 7.575602288178837629e-01
3.816666666666666500e+15 7.947274314445736954e-01
3.833333333333333000e+15 8.346942493835187715e-01
3.850000000000000000e+15 8.777509790887071395e-01
3.866666666666666500e+15 9.242267778293277170e-01
3.883333333333333000e+15 9.744960896767712599e-01
3.900000000000000000e+15 1.028986324638689220e+00
3.916666666666666500e+15 1.088187057375781031e+00
3.933333333333333000e+15 1.152661061253086983e+00
3.950000000000000000e+15 1.223057539780120218e+00
3.966666666666666500e+15 1.300127945340636693e+00
3.983333333333333000e+15 1.384744751861758161e+00
4.000000000000000000e+15 1.477923408303347008e+00
4.016666666666666500e+15 1.580847317808761643e+00
4.033333333333333000e+15 1.694894831756015519e+00
4.050000000000000500e+15 1.821665518948578866e+00
4.066666666666667000e+15 1.962999748007854484e+00
4.083333333333333500e+15 2.120980158804174120e+00
4.100000000000000500e+15 2.297895678624161775e+00
4.116666666666667000e+15 2.496140918112409679e+00
4.133333333333333500e+15 2.718026897631448779e+00
4.150000000000000500e+15 2.965520697716151233e+00
4.166666666666667000e+15 3.240054230003155844e+00
4.183333333333333500e+15 3.542746635116182929e+00
4.200000000000000500e+15 3.875484487769005337e+00
4.216666666666667000e+15 4.242895778138099594e+00
4.233333333333333500e+15 4.654304100713177128e+00
4.250000000000000500e+15 5.124330498177544158e+00
4.266666666666667000e+15 5.671913049458702005e+00
4.283333333333333500e+15 6.318960671038883703e+00
4.300000000000000500e+15 7.089838834685333602e+00
4.316666666666666500e+15 8.011777223287669614e+00
4.333333333333333500e+15 9.115473422748443966e+00
4.350000000000000500e+15 1.043491066238707354e+01
4.366666666666666500e+15 1.200517956772397810e+01
4.383333333333333500e+15 1.385651495755248597e+01
4.400000000000000000e+15 1.600189867720404635e+01
4.416666666666666500e+15 1.841520197692643990e+01
4.433333333333333500e+15 2.099909934689468471e+01
4.450000000000000000e+15 2.355076986120288751e+01
4.466666666666666500e+15 2.575079065359379626e+01
4.483333333333333500e+15 2.721489110113604326e+01
4.500000000000000000e+15 2.762540128449411725e+01
4.516666666666667000e+15 2.688237105695562335e+01
4.533333333333334000e+15 2.515795555139368744e+01
4.550000000000000000e+15 2.280495399880029694e+01
4.566666666666667000e+15 2.019998838443519418e+01
4.583333333333334000e+15 1.763187448416480763e+01
4.600000000000000000e+15 1.527098591598355171e+01
4.616666666666667000e+15 1.319057511871931787e+01
4.633333333333334000e+15 1.140226246154154133e+01
4.650000000000000000e+15 9.885659048888305378e+00
4.666666666666667000e+15 8.607444920168264346e+00
4.683333333333334000e+15 7.531811160123567106e+00
