# {'filename': '5AngAgSphere_20220414_202339', 'beam': {'qz': 199725854668.28848, 'v': 133707436.268, 'q_colector': 1997258546.682885, 'q_aperture': 1997258546.682885, 'lf': 1, 'li': 1}, 'specimen': {'pos': [3e-09, 0, 0], 'polsmultipliers': (1, 0, 0), 'shereradius': 5e-10, 'omega_p': 1.3825333775695496e+16, 'gamma_p': 227890117181793.88}, 'calculation': {'xrange': [-1e-08, 1e-08], 'yrange': [-1e-08, 1e-08], 'numxpoints': 50, 'numypoints': 50}, 'starttime': datetime.datetime(2022, 4, 14, 20, 23, 39, 434096), 'endtime': datetime.datetime(2022, 4, 15, 0, 20, 24, 43402)}
# omega	gamma
 (4.557802343635878000e+15+0.000000000000000000e+00j)  (2.001727513534347713e+08-8.413925263977124480e-01j)
 (4.743835092355710000e+15+0.000000000000000000e+00j)  (2.022146873350131214e+08-8.370651297556732651e-01j)
 (4.929867841075541000e+15+0.000000000000000000e+00j)  (2.061939779356343746e+08-8.369907743954900781e-01j)
 (5.115900589795373000e+15+0.000000000000000000e+00j)  (2.123618053524968326e+08-8.414092958627406027e-01j)
 (5.301933338515205000e+15+0.000000000000000000e+00j)  (2.210931729176622927e+08-8.507161487830419144e-01j)
 (5.487966087235037000e+15+0.000000000000000000e+00j)  (2.329342439426263273e+08-8.655032830488390561e-01j)
 (5.673998835954868000e+15+0.000000000000000000e+00j)  (2.486782809584489167e+08-8.866230445281291228e-01j)
 (5.860031584674700000e+15+0.000000000000000000e+00j)  (2.694900277729638815e+08-9.152880880821080423e-01j)
 (6.046064333394533000e+15+0.000000000000000000e+00j)  (2.971159647607629895e+08-9.532302970679177312e-01j)
 (6.232097082114364000e+15+0.000000000000000000e+00j)  (3.342545145296300650e+08-1.002960843160712212e+00j)
 (6.418129830834196000e+15+0.000000000000000000e+00j)  (3.852415559229440689e+08-1.068212335919578093e+00j)
 (6.604162579554027000e+15+0.000000000000000000e+00j)  (4.574006617485585213e+08-1.154727635784170481e+00j)
 (6.790195328273859000e+15+0.000000000000000000e+00j)  (5.639138928314526081e+08-1.271753505882831536e+00j)
 (6.976228076993692000e+15+0.000000000000000000e+00j)  (7.305444444355837107e+08-1.435085600228836800e+00j)
