# {'filename': '5nmAgSph_EE0MM0EM1_li0_lf-1_xp0.0', 'beam': {'qz': 199725854668.28848, 'v': 133707436.268, 'q_colector': 1997258546.682885, 'q_aperture': 1997258546.682885, 'lf': -1, 'li': 0}, 'specimen': {'pos': [0.0, 0, 0], 'polsmultipliers': (0, 0, 1), 'shereradius': 5e-10, 'omega_p': 1.3825333775695496e+16, 'gamma_p': 227890117181793.88}, 'calculation': {'xrange': [-1e-08, 1e-08], 'yrange': [-1e-08, 1e-08], 'numxpoints': 50, 'numypoints': 50}, 'starttime': datetime.datetime(2022, 4, 16, 18, 37, 14, 934892), 'endtime': datetime.datetime(2022, 4, 16, 22, 51, 53, 130356)}
# omega	gamma
6.000000000000000000e+15 -2.672054533061090265e-04
6.081632653061224000e+15 -2.683265290787368142e-04
6.163265306122448000e+15 -2.700585412343306773e-04
6.244897959183673000e+15 -2.724545997386747286e-04
6.326530612244898000e+15 -2.755803516115551259e-04
6.408163265306123000e+15 -2.795169364761290634e-04
6.489795918367347000e+15 -2.843648933845230472e-04
6.571428571428571000e+15 -2.902493833810700194e-04
6.653061224489796000e+15 -2.973272603152937970e-04
6.734693877551020000e+15 -3.057967820526230705e-04
6.816326530612244000e+15 -3.159111626187395918e-04
6.897959183673469000e+15 -3.279978222116817794e-04
6.979591836734693000e+15 -3.424862708568173083e-04
7.061224489795919000e+15 -3.599493751912489245e-04
7.142857142857143000e+15 -3.811658773062302536e-04
7.224489795918367000e+15 -4.072175026646967871e-04
7.306122448979592000e+15 -4.396436775089380901e-04
7.387755102040816000e+15 -4.806937409364564766e-04
7.469387755102040000e+15 -5.337430093445478564e-04
7.551020408163265000e+15 -6.039612927022449014e-04
7.632653061224490000e+15 -6.992020483391176528e-04
7.714285714285714000e+15 -8.298060601478492561e-04
7.795918367346939000e+15 -9.960989109814985185e-04
7.877551020408163000e+15 -1.080186820851489118e-03
7.959183673469388000e+15 -3.953712125583573015e-04
8.040816326530612000e+15 8.267172965066907613e-04
8.122448979591836000e+15 9.572013287031256711e-04
8.204081632653062000e+15 7.723493290453913853e-04
8.285714285714285000e+15 6.083822382567598925e-04
8.367346938775511000e+15 4.893436216355216434e-04
8.448979591836735000e+15 4.031765272879392673e-04
8.530612244897959000e+15 3.391332845386238709e-04
8.612244897959184000e+15 2.901446198178245532e-04
8.693877551020408000e+15 2.516954967974935732e-04
8.775510204081632000e+15 2.208482204191206696e-04
8.857142857142857000e+15 1.956355411960482554e-04
8.938775510204082000e+15 1.747008069665681570e-04
9.020408163265306000e+15 1.570826300036060714e-04
9.102040816326530000e+15 1.420828723413999884e-04
9.183673469387756000e+15 1.291834365992166049e-04
9.265306122448980000e+15 1.179923657738885857e-04
9.346938775510204000e+15 1.082080224987575276e-04
9.428571428571428000e+15 9.959471691353328116e-05
9.510204081632654000e+15 9.196576501150132224e-05
9.591836734693878000e+15 8.517148075478093007e-05
9.673469387755102000e+15 7.909051341016021415e-05
9.755102040816326000e+15 7.362349689882628095e-05
9.836734693877552000e+15 6.868832532525432884e-05
9.918367346938776000e+15 6.421659087812572127e-05
1.000000000000000000e+16 6.015086489734163759e-05
