# {'filename': '5nmAgSph_EE1MM0EM0_li0_lf-1_xp1e-09', 'beam': {'qz': 199725854668.28848, 'v': 133707436.268, 'q_colector': 1997258546.682885, 'q_aperture': 1997258546.682885, 'lf': -1, 'li': 0}, 'specimen': {'pos': [1e-09, 0, 0], 'polsmultipliers': (1, 0, 0), 'shereradius': 5e-10, 'omega_p': 1.3825333775695496e+16, 'gamma_p': 227890117181793.88}, 'calculation': {'xrange': [-1e-08, 1e-08], 'yrange': [-1e-08, 1e-08], 'numxpoints': 50, 'numypoints': 50}, 'starttime': datetime.datetime(2022, 4, 17, 20, 43, 39, 660689), 'endtime': datetime.datetime(2022, 4, 18, 1, 55, 57, 260624)}
# omega	gamma
6.000000000000000000e+15 2.888774266451425385e+06
6.081632653061224000e+15 3.062802445344626438e+06
6.163265306122448000e+15 3.260022317614926025e+06
6.244897959183673000e+15 3.484659615880766418e+06
6.326530612244898000e+15 3.741975614645417780e+06
6.408163265306123000e+15 4.038588578337039798e+06
6.489795918367347000e+15 4.382918386168334633e+06
6.571428571428571000e+15 4.785811467691252939e+06
6.653061224489796000e+15 5.261434747375927866e+06
6.734693877551020000e+15 5.828579587911912240e+06
6.816326530612244000e+15 6.512605515629539266e+06
6.897959183673469000e+15 7.348408909784895368e+06
6.979591836734693000e+15 8.385082995152484626e+06
7.061224489795919000e+15 9.693463546184368432e+06
7.142857142857143000e+15 1.137878910574099794e+07
7.224489795918367000e+15 1.360283053638624959e+07
7.306122448979592000e+15 1.662446074134296179e+07
7.387755102040816000e+15 2.087831147723403201e+07
7.469387755102040000e+15 2.713771745689398050e+07
7.551020408163265000e+15 3.687989721788430959e+07
7.632653061224490000e+15 5.318346596733797342e+07
7.714285714285714000e+15 8.316716105985839665e+07
7.795918367346939000e+15 1.450711684162228107e+08
7.877551020408163000e+15 2.834190741524586678e+08
7.959183673469388000e+15 4.876378603425566554e+08
8.040816326530612000e+15 3.868851841632255316e+08
8.122448979591836000e+15 1.901747086593793035e+08
8.204081632653062000e+15 9.801365331159313023e+07
8.285714285714285000e+15 5.697224272846251726e+07
8.367346938775511000e+15 3.643561814907561988e+07
8.448979591836735000e+15 2.498497248712692410e+07
8.530612244897959000e+15 1.803988974658537656e+07
8.612244897959184000e+15 1.354640043546723388e+07
8.693877551020408000e+15 1.048885360527832992e+07
8.775510204081632000e+15 8.323236850520706736e+06
8.857142857142857000e+15 6.738598210344718769e+06
8.938775510204082000e+15 5.547466360121524893e+06
9.020408163265306000e+15 4.631694143761149608e+06
9.102040816326530000e+15 3.913992904679084662e+06
9.183673469387756000e+15 3.342169384909619577e+06
9.265306122448980000e+15 2.879998967301895842e+06
9.346938775510204000e+15 2.501734258406555746e+06
9.428571428571428000e+15 2.188688580504499841e+06
9.510204081632654000e+15 1.927047054683042457e+06
9.591836734693878000e+15 1.706427317786881933e+06
9.673469387755102000e+15 1.518911031926124822e+06
9.755102040816326000e+15 1.358378567380761961e+06
9.836734693877552000e+15 1.220043366961513646e+06
9.918367346938776000e+15 1.100120511179791763e+06
1.000000000000000000e+16 9.955871737252339954e+05
