# {'filename': '5nmAgSph_EE1MM0EM0_li0_lf-5_xp0.0', 'beam': {'qz': 199725854668.28848, 'v': 133707436.268, 'q_colector': 1997258546.682885, 'q_aperture': 1997258546.682885, 'lf': -5, 'li': 0}, 'specimen': {'pos': [0.0, 0, 0], 'polsmultipliers': (1, 0, 0), 'shereradius': 5e-10, 'omega_p': 1.3825333775695496e+16, 'gamma_p': 227890117181793.88}, 'calculation': {'xrange': [-1.5e-08, 1.5e-08], 'yrange': [-1.5e-08, 1.5e-08], 'numxpoints': 50, 'numypoints': 50}, 'starttime': datetime.datetime(2022, 4, 18, 9, 43, 52, 469382), 'endtime': datetime.datetime(2022, 4, 18, 15, 14, 49, 675483)}
# omega	gamma
6.000000000000000000e+15 2.762551276907801445e-01
6.081632653061224000e+15 2.845066070222188048e-01
6.163265306122448000e+15 2.941887596719862108e-01
6.244897959183673000e+15 3.055287475701218280e-01
6.326530612244898000e+15 3.188097552408879487e-01
6.408163265306123000e+15 3.343879280698137113e-01
6.489795918367347000e+15 3.527157145579143949e-01
6.571428571428571000e+15 3.743745715182091871e-01
6.653061224489796000e+15 4.001215706946966155e-01
6.734693877551020000e+15 4.309571168631245452e-01
6.816326530612244000e+15 4.682254927203722272e-01
6.897959183673469000e+15 5.137677903979391836e-01
6.979591836734693000e+15 5.701609420107879300e-01
7.061224489795919000e+15 6.411030710282560330e-01
7.142857142857143000e+15 7.320570819515063166e-01
7.224489795918367000e+15 8.513702775888628560e-01
7.306122448979592000e+15 1.012316693554604630e+00
7.387755102040816000e+15 1.237035782005966311e+00
7.469387755102040000e+15 1.564644928413863045e+00
7.551020408163265000e+15 2.069304674155843848e+00
7.632653061224490000e+15 2.904286476138801198e+00
7.714285714285714000e+15 4.420564900313240564e+00
7.795918367346939000e+15 7.505926005043614069e+00
7.877551020408163000e+15 1.427522409962951677e+01
7.959183673469388000e+15 2.391192927697682791e+01
8.040816326530612000e+15 1.847117587772413572e+01
8.122448979591836000e+15 8.840801185667324091e+00
8.204081632653062000e+15 4.436927399560863350e+00
8.285714285714285000e+15 2.511572428975873628e+00
8.367346938775511000e+15 1.564315179125336686e+00
8.448979591836735000e+15 1.044771058340844272e+00
8.530612244897959000e+15 7.347642791357791303e-01
8.612244897959184000e+15 5.374487779849707048e-01
8.693877551020408000e+15 4.053840862572943848e-01
8.775510204081632000e+15 3.133879509001377683e-01
8.857142857142857000e+15 2.471930395371210731e-01
8.938775510204082000e+15 1.982725773004191672e-01
9.020408163265306000e+15 1.612995767127171631e-01
9.102040816326530000e+15 1.328196327746547223e-01
9.183673469387756000e+15 1.105204191249537504e-01
9.265306122448980000e+15 9.281124653438395378e-02
9.346938775510204000e+15 7.857158042267099740e-02
9.428571428571428000e+15 6.699549718560809941e-02
9.510204081632654000e+15 5.749261361328421999e-02
9.591836734693878000e+15 4.962332355919823329e-02
9.673469387755102000e+15 4.305547850245389219e-02
9.755102040816326000e+15 3.753480262897200548e-02
9.836734693877552000e+15 3.286430912638656915e-02
9.918367346938776000e+15 2.888973881145390915e-02
1.000000000000000000e+16 2.548909722613994580e-02
