# {'filename': '5nmAgSph_EE1MM0EM0_li5_lf6_xp0.0', 'beam': {'qz': 199725854668.28848, 'v': 133707436.268, 'q_colector': 1997258546.682885, 'q_aperture': 1997258546.682885, 'lf': 6, 'li': 5}, 'specimen': {'pos': [0.0, 0, 0], 'polsmultipliers': (1, 0, 0), 'shereradius': 5e-10, 'omega_p': 1.3825333775695496e+16, 'gamma_p': 227890117181793.88}, 'calculation': {'xrange': [-1.5e-08, 1.5e-08], 'yrange': [-1.5e-08, 1.5e-08], 'numxpoints': 50, 'numypoints': 50}, 'starttime': datetime.datetime(2022, 4, 18, 9, 41, 23, 716888), 'endtime': datetime.datetime(2022, 4, 18, 15, 9, 18, 796961)}
# omega	gamma
6.000000000000000000e+15 3.768027370323694413e+03
6.081632653061224000e+15 3.939293443130743526e+03
6.163265306122448000e+15 4.134896596830342787e+03
6.244897959183673000e+15 4.359070951633512777e+03
6.326530612244898000e+15 4.617083860870822718e+03
6.408163265306123000e+15 4.915553273597237421e+03
6.489795918367347000e+15 5.262885973434956213e+03
6.571428571428571000e+15 5.669892472866768912e+03
6.653061224489796000e+15 6.150665014755224547e+03
6.734693877551020000e+15 6.723855899074554145e+03
6.816326530612244000e+15 7.414579417284868214e+03
6.897959183673469000e+15 8.257311073002185367e+03
6.979591836734693000e+15 9.300429455731957205e+03
7.061224489795919000e+15 1.061355559878871645e+04
7.142857142857143000e+15 1.229984090810404632e+04
7.224489795918367000e+15 1.451739873514852297e+04
7.306122448979592000e+15 1.751850407889583221e+04
7.387755102040816000e+15 2.172540896545271607e+04
7.469387755102040000e+15 2.788698752638547012e+04
7.551020408163265000e+15 3.742877612919692911e+04
7.632653061224490000e+15 5.331035055030918738e+04
7.714285714285714000e+15 8.234486257973716420e+04
7.795918367346939000e+15 1.418879971054152702e+05
7.877551020408163000e+15 2.738439665717185126e+05
7.959183673469388000e+15 4.654898027049679076e+05
8.040816326530612000e+15 3.648901045461760368e+05
8.122448979591836000e+15 1.772262524521399464e+05
8.204081632653062000e+15 9.025780388893358759e+04
8.285714285714285000e+15 5.184555128462386347e+04
8.367346938775511000e+15 3.276807726067742624e+04
8.448979591836735000e+15 2.220785006293590050e+04
8.530612244897959000e+15 1.584857034423061486e+04
8.612244897959184000e+15 1.176343109593322515e+04
8.693877551020408000e+15 9.003615080010071324e+03
8.775510204081632000e+15 7.062922430202985197e+03
8.857142857142857000e+15 5.653132068445915138e+03
8.938775510204082000e+15 4.601138913979096287e+03
9.020408163265306000e+15 3.798262500653345342e+03
9.102040816326530000e+15 3.173675662516153352e+03
9.183673469387756000e+15 2.679729640180185015e+03
9.265306122448980000e+15 2.283479587076825737e+03
9.346938775510204000e+15 1.961598756123272778e+03
9.428571428571428000e+15 1.697222431984001332e+03
9.510204081632654000e+15 1.477931021488303713e+03
9.591836734693878000e+15 1.294427238584728912e+03
9.673469387755102000e+15 1.139648245029738973e+03
9.755102040816326000e+15 1.008157275035205089e+03
9.836734693877552000e+15 8.957189361929349616e+02
9.918367346938776000e+15 7.989976874021223239e+02
1.000000000000000000e+16 7.153404727661942388e+02
