# {'filename': '5nmAgSph_EE1MM0EM0_li0_lf-5_xp1e-09', 'beam': {'qz': 199725854668.28848, 'v': 133707436.268, 'q_colector': 1997258546.682885, 'q_aperture': 1997258546.682885, 'lf': -5, 'li': 0}, 'specimen': {'pos': [1e-09, 0, 0], 'polsmultipliers': (1, 0, 0), 'shereradius': 5e-10, 'omega_p': 1.3825333775695496e+16, 'gamma_p': 227890117181793.88}, 'calculation': {'xrange': [-1.5e-08, 1.5e-08], 'yrange': [-1.5e-08, 1.5e-08], 'numxpoints': 50, 'numypoints': 50}, 'starttime': datetime.datetime(2022, 4, 19, 8, 51, 39, 888992), 'endtime': datetime.datetime(2022, 4, 19, 14, 19, 35, 245149)}
# omega	gamma
6.000000000000000000e+15 1.491983214178059036e+01
6.081632653061224000e+15 1.575578773197546489e+01
6.163265306122448000e+15 1.670399534084339876e+01
6.244897959183673000e+15 1.778470238461869712e+01
6.326530612244898000e+15 1.902310509901787938e+01
6.408163265306123000e+15 2.045088033317964005e+01
6.489795918367347000e+15 2.210830318564397601e+01
6.571428571428571000e+15 2.404722181876063303e+01
6.653061224489796000e+15 2.633531043550364359e+01
6.734693877551020000e+15 2.906226934167634113e+01
6.816326530612244000e+15 3.234906175582427323e+01
6.897959183673469000e+15 3.636201305766004310e+01
6.979591836734693000e+15 4.133492923864849899e+01
7.061224489795919000e+15 4.760489011801344361e+01
7.142857142857143000e+15 5.567226511616132001e+01
7.224489795918367000e+15 6.630554916710147495e+01
7.306122448979592000e+15 8.073342402264555062e+01
7.387755102040816000e+15 1.010168563990462189e+02
7.469387755102040000e+15 1.308193252835837370e+02
7.551020408163265000e+15 1.771315106510719488e+02
7.632653061224490000e+15 2.545058136271492515e+02
7.714285714285714000e+15 3.965475659138857054e+02
7.795918367346939000e+15 6.892142402357751507e+02
7.877551020408163000e+15 1.341650187683134391e+03
7.959183673469388000e+15 2.300128380211394870e+03
8.040816326530612000e+15 1.818396276245259287e+03
8.122448979591836000e+15 8.906730070230557885e+02
8.204081632653062000e+15 4.574235398463852107e+02
8.285714285714285000e+15 2.649530611205128707e+02
8.367346938775511000e+15 1.688545368071015105e+02
8.448979591836735000e+15 1.153861522234459613e+02
8.530612244897959000e+15 8.302409664893971808e+01
8.612244897959184000e+15 6.212935952897445446e+01
8.693877551020408000e+15 4.794141891848359904e+01
8.775510204081632000e+15 3.791335278746603166e+01
8.857142857142857000e+15 3.059100517294060850e+01
8.938775510204082000e+15 2.509864389751209401e+01
9.020408163265306000e+15 2.088497568989089714e+01
9.102040816326530000e+15 1.758975392310370722e+01
9.183673469387756000e+15 1.496996897068115473e+01
9.265306122448980000e+15 1.285714531213690393e+01
9.346938775510204000e+15 1.113166718333826388e+01
9.428571428571428000e+15 9.706817033182778331e+00
9.510204081632654000e+15 8.518556691109507639e+00
9.591836734693878000e+15 7.518813090296545099e+00
9.673469387755102000e+15 6.670963561811135811e+00
9.755102040816326000e+15 5.946736670970368621e+00
9.836734693877552000e+15 5.324044795028295418e+00
9.918367346938776000e+15 4.785442511609739213e+00
1.000000000000000000e+16 4.317013216542188836e+00
