# {'filename': '5nmAgSph_EE1MM0EM0_li0_lf5_xp1e-09', 'beam': {'qz': 199725854668.28848, 'v': 133707436.268, 'q_colector': 1997258546.682885, 'q_aperture': 1997258546.682885, 'lf': 5, 'li': 0}, 'specimen': {'pos': [1e-09, 0, 0], 'polsmultipliers': (1, 0, 0), 'shereradius': 5e-10, 'omega_p': 1.3825333775695496e+16, 'gamma_p': 227890117181793.88}, 'calculation': {'xrange': [-1.5e-08, 1.5e-08], 'yrange': [-1.5e-08, 1.5e-08], 'numxpoints': 50, 'numypoints': 50}, 'starttime': datetime.datetime(2022, 4, 19, 8, 50, 52, 751926), 'endtime': datetime.datetime(2022, 4, 19, 14, 16, 29, 993902)}
# omega	gamma
6.000000000000000000e+15 1.491983214287055581e+01
6.081632653061224000e+15 1.575578773168994218e+01
6.163265306122448000e+15 1.670399534049581192e+01
6.244897959183673000e+15 1.778470238427320993e+01
6.326530612244898000e+15 1.902310510023852430e+01
6.408163265306123000e+15 2.045088033336205768e+01
6.489795918367347000e+15 2.210830318612503120e+01
6.571428571428571000e+15 2.404722181914918266e+01
6.653061224489796000e+15 2.633531043532213189e+01
6.734693877551020000e+15 2.906226934197496448e+01
6.816326530612244000e+15 3.234906175595660471e+01
6.897959183673469000e+15 3.636201305834060094e+01
6.979591836734693000e+15 4.133492923968189103e+01
7.061224489795919000e+15 4.760489011915112201e+01
7.142857142857143000e+15 5.567226511797344557e+01
7.224489795918367000e+15 6.630554916865520454e+01
7.306122448979592000e+15 8.073342402370759885e+01
7.387755102040816000e+15 1.010168564004409575e+02
7.469387755102040000e+15 1.308193252847471513e+02
7.551020408163265000e+15 1.771315106503006405e+02
7.632653061224490000e+15 2.545058136289715094e+02
7.714285714285714000e+15 3.965475659150166621e+02
7.795918367346939000e+15 6.892142402364547706e+02
7.877551020408163000e+15 1.341650187685468154e+03
7.959183673469388000e+15 2.300128380207959708e+03
8.040816326530612000e+15 1.818396276242602198e+03
8.122448979591836000e+15 8.906730070201880380e+02
8.204081632653062000e+15 4.574235398445272835e+02
8.285714285714285000e+15 2.649530611179959010e+02
8.367346938775511000e+15 1.688545368067483139e+02
8.448979591836735000e+15 1.153861522230787955e+02
8.530612244897959000e+15 8.302409664878796036e+01
8.612244897959184000e+15 6.212935952880824431e+01
8.693877551020408000e+15 4.794141891790827970e+01
8.775510204081632000e+15 3.791335278732037040e+01
8.857142857142857000e+15 3.059100517246448092e+01
8.938775510204082000e+15 2.509864389640875615e+01
9.020408163265306000e+15 2.088497568920664449e+01
9.102040816326530000e+15 1.758975392288737893e+01
9.183673469387756000e+15 1.496996897064297016e+01
9.265306122448980000e+15 1.285714531181696785e+01
9.346938775510204000e+15 1.113166718311683212e+01
9.428571428571428000e+15 9.706817033346236911e+00
9.510204081632654000e+15 8.518556691124247848e+00
9.591836734693878000e+15 7.518813090153161127e+00
9.673469387755102000e+15 6.670963561869872827e+00
9.755102040816326000e+15 5.946736670909986699e+00
9.836734693877552000e+15 5.324044795028965993e+00
9.918367346938776000e+15 4.785442511628390960e+00
1.000000000000000000e+16 4.317013216538949649e+00
