# {'filename': '5nmAgSph_EE0MM0EM1_li-5_lf-4_xp0.0', 'beam': {'qz': 199725854668.28848, 'v': 133707436.268, 'q_colector': 1997258546.682885, 'q_aperture': 1997258546.682885, 'lf': -4, 'li': -5}, 'specimen': {'pos': [0.0, 0, 0], 'polsmultipliers': (0, 0, 1), 'shereradius': 5e-10, 'omega_p': 1.3825333775695496e+16, 'gamma_p': 227890117181793.88}, 'calculation': {'xrange': [-1.5e-08, 1.5e-08], 'yrange': [-1.5e-08, 1.5e-08], 'numxpoints': 50, 'numypoints': 50}, 'starttime': datetime.datetime(2022, 4, 20, 19, 55, 52, 909486), 'endtime': datetime.datetime(2022, 4, 21, 1, 29, 37, 280878)}
# omega	gamma
6.000000000000000000e+15 -5.629207554598418436e-05
6.081632653061224000e+15 -5.641235142848198553e-05
6.163265306122448000e+15 -5.666019334710102113e-05
6.244897959183673000e+15 -5.704593185716549443e-05
6.326530612244898000e+15 -5.758243103084656581e-05
6.408163265306123000e+15 -5.828567850782186258e-05
6.489795918367347000e+15 -5.917556617222757853e-05
6.571428571428571000e+15 -6.027693438464218638e-05
6.653061224489796000e+15 -6.162098632100080796e-05
6.734693877551020000e+15 -6.324723091135065454e-05
6.816326530612244000e+15 -6.520619455231100063e-05
6.897959183673469000e+15 -6.756327302150913136e-05
6.979591836734693000e+15 -7.040431068839094733e-05
7.061224489795919000e+15 -7.384385655422333306e-05
7.142857142857143000e+15 -7.803766972716589471e-05
7.224489795918367000e+15 -8.320213838935892621e-05
7.306122448979592000e+15 -8.964520716696820454e-05
7.387755102040816000e+15 -9.781676444929886553e-05
7.469387755102040000e+15 -1.083916871715076297e-04
7.551020408163265000e+15 -1.224030324604460202e-04
7.632653061224490000e+15 -1.414182245025387993e-04
7.714285714285714000e+15 -1.674939824286273316e-04
7.795918367346939000e+15 -2.006528211008264671e-04
7.877551020408163000e+15 -2.171511520959034801e-04
7.959183673469388000e+15 -7.932115117982368666e-05
8.040816326530612000e+15 1.655243575960953771e-04
8.122448979591836000e+15 1.912622711279129398e-04
8.204081632653062000e+15 1.540143212548825114e-04
8.285714285714285000e+15 1.210724547611669109e-04
8.367346938775511000e+15 9.718615458365256071e-05
8.448979591836735000e+15 7.991117057170877679e-05
8.530612244897959000e+15 6.708178046546759365e-05
8.612244897959184000e+15 5.727574028473462526e-05
8.693877551020408000e+15 4.958539276918834198e-05
8.775510204081632000e+15 4.342046044511035143e-05
8.857142857142857000e+15 3.838579657910852835e-05
8.938775510204082000e+15 3.420897438468872674e-05
9.020408163265306000e+15 3.069698322354279057e-05
9.102040816326530000e+15 2.770969136100350281e-05
9.183673469387756000e+15 2.514312460958579920e-05
9.265306122448980000e+15 2.291863734492535743e-05
9.346938775510204000e+15 2.097571720275409661e-05
9.428571428571428000e+15 1.926709022828709532e-05
9.510204081632654000e+15 1.775531880510310042e-05
9.591836734693878000e+15 1.641039062092542066e-05
9.673469387755102000e+15 1.520797949259912891e-05
9.755102040816326000e+15 1.412817048625359953e-05
9.836734693877552000e+15 1.315451157170077042e-05
9.918367346938776000e+15 1.227329865823062408e-05
1.000000000000000000e+16 1.147302990809487082e-05
