# {'filename': '5nmAgSph_EE0MM0EM1_li-1_lf-2_xp1e-09', 'beam': {'qz': 199725854668.28848, 'v': 133707436.268, 'q_colector': 1997258546.682885, 'q_aperture': 1997258546.682885, 'lf': -2, 'li': -1}, 'specimen': {'pos': [1e-09, 0, 0], 'polsmultipliers': (0, 0, 1), 'shereradius': 5e-10, 'omega_p': 1.3825333775695496e+16, 'gamma_p': 227890117181793.88}, 'calculation': {'xrange': [-1e-08, 1e-08], 'yrange': [-1e-08, 1e-08], 'numxpoints': 50, 'numypoints': 50}, 'starttime': datetime.datetime(2022, 4, 22, 21, 42, 5, 694880), 'endtime': datetime.datetime(2022, 4, 23, 2, 56, 19, 649260)}
# omega	gamma
6.000000000000000000e+15 -1.367458581583166444e-04
6.081632653061224000e+15 -1.372288846051919757e-04
6.163265306122448000e+15 -1.380236573513701716e-04
6.244897959183673000e+15 -1.391566824159603632e-04
6.326530612244898000e+15 -1.406607972676303310e-04
6.408163265306123000e+15 -1.425766577592167477e-04
6.489795918367347000e+15 -1.449547042094910488e-04
6.571428571428571000e+15 -1.478577901237761302e-04
6.653061224489796000e+15 -1.513647416489219595e-04
6.734693877551020000e+15 -1.555752465648037580e-04
6.816326530612244000e+15 -1.606166771918660140e-04
6.897959183673469000e+15 -1.666537819926244683e-04
6.979591836734693000e+15 -1.739027236324006132e-04
7.061224489795919000e+15 -1.826518540123106137e-04
7.142857142857143000e+15 -1.932931864111933737e-04
7.224489795918367000e+15 -2.063712756935644199e-04
7.306122448979592000e+15 -2.226610873777816338e-04
7.387755102040816000e+15 -2.432949128724705326e-04
7.469387755102040000e+15 -2.699716756225261673e-04
7.551020408163265000e+15 -3.052930454203411459e-04
7.632653061224490000e+15 -3.532097232648180444e-04
7.714285714285714000e+15 -4.189180306635422921e-04
7.795918367346939000e+15 -5.025482177575506118e-04
7.877551020408163000e+15 -5.446246385331443909e-04
7.959183673469388000e+15 -1.992172319311788932e-04
8.040816326530612000e+15 4.162963709032069378e-04
8.122448979591836000e+15 4.816958738260511516e-04
8.204081632653062000e+15 3.884254867307790219e-04
8.285714285714285000e+15 3.057701266568841670e-04
8.367346938775511000e+15 2.457860906889856260e-04
8.448979591836735000e+15 2.023781895510388658e-04
8.530612244897959000e+15 1.701234667999698236e-04
8.612244897959184000e+15 1.454567596657201382e-04
8.693877551020408000e+15 1.261016125705396670e-04
8.775510204081632000e+15 1.105770829764245953e-04
8.857142857142857000e+15 9.789155470929077757e-05
8.938775510204082000e+15 8.736124884832172923e-05
9.020408163265306000e+15 7.850164192561325037e-05
9.102040816326530000e+15 7.096090619448861393e-05
9.183673469387756000e+15 6.447796092002428241e-05
9.265306122448980000e+15 5.885530139297308371e-05
9.346938775510204000e+15 5.394094284897431839e-05
9.428571428571428000e+15 4.961613587364122345e-05
9.510204081632654000e+15 4.578682744650187881e-05
9.591836734693878000e+15 4.237760893213428733e-05
9.673469387755102000e+15 3.932735021457696136e-05
9.755102040816326000e+15 3.658599914985463192e-05
9.836734693877552000e+15 3.411220063142176944e-05
9.918367346938776000e+15 3.187150148776934108e-05
1.000000000000000000e+16 2.983498032270607162e-05
