# {'filename': '5nmAgSph_EE1MM0EM0_li-5_lf-4_xp1e-09', 'beam': {'qz': 199725854668.28848, 'v': 133707436.268, 'q_colector': 1997258546.682885, 'q_aperture': 1997258546.682885, 'lf': -4, 'li': -5}, 'specimen': {'pos': [1e-09, 0, 0], 'polsmultipliers': (1, 0, 0), 'shereradius': 5e-10, 'omega_p': 1.3825333775695496e+16, 'gamma_p': 227890117181793.88}, 'calculation': {'xrange': [-1.5e-08, 1.5e-08], 'yrange': [-1.5e-08, 1.5e-08], 'numxpoints': 50, 'numypoints': 50}, 'starttime': datetime.datetime(2022, 4, 21, 7, 49, 52, 119875), 'endtime': datetime.datetime(2022, 4, 21, 13, 24, 11, 240050)}
# omega	gamma
6.000000000000000000e+15 8.409520841137219686e+05
6.081632653061224000e+15 8.905242183959294343e+05
6.163265306122448000e+15 9.467020302725892980e+05
6.244897959183673000e+15 1.010685399350810447e+06
6.326530612244898000e+15 1.083967879757663235e+06
6.408163265306123000e+15 1.168427764535661787e+06
6.489795918367347000e+15 1.266454018900026800e+06
6.571428571428571000e+15 1.381123246181689901e+06
6.653061224489796000e+15 1.516452775468378793e+06
6.734693877551020000e+15 1.677769744062638842e+06
6.816326530612244000e+15 1.872261147560945246e+06
6.897959183673469000e+15 2.109813749805098400e+06
6.979591836734693000e+15 2.404332192889162339e+06
7.061224489795919000e+15 2.775872838403014932e+06
7.142857142857143000e+15 3.254223052899599541e+06
7.224489795918367000e+15 3.885156055246781092e+06
7.306122448979592000e+15 4.741894758746170439e+06
7.387755102040816000e+15 5.947331667390100658e+06
7.469387755102040000e+15 7.720045265837460756e+06
7.551020408163265000e+15 1.047739464688557573e+07
7.632653061224490000e+15 1.508879846336510405e+07
7.714285714285714000e+15 2.356360272222154215e+07
7.795918367346939000e+15 4.104687654843756557e+07
7.877551020408163000e+15 8.008195976665711403e+07
7.959183673469388000e+15 1.375964056082244515e+08
8.040816326530612000e+15 1.090167650746912807e+08
8.122448979591836000e+15 5.351345110433480889e+07
8.204081632653062000e+15 2.754186183357780799e+07
8.285714285714285000e+15 1.598689357630771771e+07
8.367346938775511000e+15 1.020983005630533956e+07
8.448979591836735000e+15 6.991340031055972911e+06
8.530612244897959000e+15 5.040831755067246035e+06
8.612244897959184000e+15 3.779867912738472223e+06
8.693877551020408000e+15 2.922555495477188844e+06
8.775510204081632000e+15 2.315830034559104592e+06
8.857142857142857000e+15 1.872239291135212872e+06
8.938775510204082000e+15 1.539081196601466741e+06
9.020408163265306000e+15 1.283156143235766562e+06
9.102040816326530000e+15 1.082754969433013350e+06
9.183673469387756000e+15 9.232235659597230842e+05
9.265306122448980000e+15 7.943955558811690426e+05
9.346938775510204000e+15 6.890480260023826268e+05
9.428571428571428000e+15 6.019410276083381614e+05
9.510204081632654000e+15 5.292023699328900548e+05
9.591836734693878000e+15 4.679232161291468656e+05
9.673469387755102000e+15 4.158860371758115944e+05
9.755102040816326000e+15 3.713777788110304391e+05
9.836734693877552000e+15 3.330591393607356586e+05
9.918367346938776000e+15 2.998715492430054001e+05
1.000000000000000000e+16 2.709699593361010193e+05
