# {'filename': '5nmAgSph_EE1MM0EM0_li1_lf-1_xp1.5e-09', 'beam': {'qz': 199725854668.28848, 'v': 133707436.268, 'q_colector': 1997258546.682885, 'q_aperture': 1997258546.682885, 'lf': -1, 'li': 1}, 'specimen': {'pos': [1.5e-09, 0, 0], 'polsmultipliers': (1, 0, 0), 'shereradius': 5e-10, 'omega_p': 1.3825333775695496e+16, 'gamma_p': 227890117181793.88}, 'calculation': {'xrange': [-1e-08, 1e-08], 'yrange': [-1e-08, 1e-08], 'numxpoints': 50, 'numypoints': 50}, 'starttime': datetime.datetime(2022, 4, 23, 17, 10, 33, 197891), 'endtime': datetime.datetime(2022, 4, 23, 21, 4, 13, 648331)}
# omega	gamma
6.000000000000000000e+15 1.249399797366110375e+06
6.081632653061224000e+15 1.324904326687669847e+06
6.163265306122448000e+15 1.410470511888607405e+06
6.244897959183673000e+15 1.507932506120822160e+06
6.326530612244898000e+15 1.619574007918532006e+06
6.408163265306123000e+15 1.748267827784349211e+06
6.489795918367347000e+15 1.897668941405195510e+06
6.571428571428571000e+15 2.072485840588324005e+06
6.653061224489796000e+15 2.278868701275552623e+06
6.734693877551020000e+15 2.524975598235083744e+06
6.816326530612244000e+15 2.821816560281687882e+06
6.897959183673469000e+15 3.184542753009446431e+06
6.979591836734693000e+15 3.634470192425542977e+06
7.061224489795919000e+15 4.202356757108252496e+06
7.142857142857143000e+15 4.933900563287842087e+06
7.224489795918367000e+15 5.899351243365881033e+06
7.306122448979592000e+15 7.211130787740672939e+06
7.387755102040816000e+15 9.057998272146206349e+06
7.469387755102040000e+15 1.177582789683714695e+07
7.551020408163265000e+15 1.600624000337357447e+07
7.632653061224490000e+15 2.308649300771917403e+07
7.714285714285714000e+15 3.610897237481530756e+07
7.795918367346939000e+15 6.299796214787510037e+07
7.877551020408163000e+15 1.230996517036314011e+08
7.959183673469388000e+15 2.118398886759874821e+08
8.040816326530612000e+15 1.681029019503518343e+08
8.122448979591836000e+15 8.264733934154486656e+07
8.204081632653062000e+15 4.260356238790190965e+07
8.285714285714285000e+15 2.476886403868388757e+07
8.367346938775511000e+15 1.584355241301926784e+07
8.448979591836735000e+15 1.086648692516084574e+07
8.530612244897959000e+15 7.847444293783040717e+06
8.612244897959184000e+15 5.893897250304168090e+06
8.693877551020408000e+15 4.564478598606290296e+06
8.775510204081632000e+15 3.622764600660795812e+06
8.857142857142857000e+15 2.933609783142070286e+06
8.938775510204082000e+15 2.415530860159364063e+06
9.020408163265306000e+15 2.017172895387728466e+06
9.102040816326530000e+15 1.704938942758746911e+06
9.183673469387756000e+15 1.456139574517850298e+06
9.265306122448980000e+15 1.255026331616093870e+06
9.346938775510204000e+15 1.090405022511914372e+06
9.428571428571428000e+15 9.541507687394699315e+05
9.510204081632654000e+15 8.402565747517575510e+05
9.591836734693878000e+15 7.442077077970368555e+05
9.673469387755102000e+15 6.625607031656837789e+05
9.755102040816326000e+15 5.926541451934389770e+05
9.836734693877552000e+15 5.324062436628019204e+05
9.918367346938776000e+15 4.801707450984729803e+05
1.000000000000000000e+16 4.346327886220309883e+05
