# {'filename': '5nmAgSph_EE1MM0EM0_li-2_lf2_xp0.0', 'beam': {'qz': 199725854668.28848, 'v': 133707436.268, 'q_colector': 1997258546.682885, 'q_aperture': 1997258546.682885, 'lf': 2, 'li': -2}, 'specimen': {'pos': [0.0, 0, 0], 'polsmultipliers': (1, 0, 0), 'shereradius': 5e-10, 'omega_p': 1.3825333775695496e+16, 'gamma_p': 227890117181793.88}, 'calculation': {'xrange': [-1e-08, 1e-08], 'yrange': [-1e-08, 1e-08], 'numxpoints': 50, 'numypoints': 50}, 'starttime': datetime.datetime(2022, 4, 25, 8, 31, 40, 734153), 'endtime': datetime.datetime(2022, 4, 25, 13, 44, 2, 359893)}
# omega	gamma
6.000000000000000000e+15 2.911242316704082987e+04
6.081632653061224000e+15 3.019653546261356314e+04
6.163265306122448000e+15 3.144802779505051876e+04
6.244897959183673000e+15 3.289485934602252382e+04
6.326530612244898000e+15 3.457183398428488726e+04
6.408163265306123000e+15 3.652268726690326730e+04
6.489795918367347000e+15 3.880296595207676728e+04
6.571428571428571000e+15 4.148406464854650403e+04
6.653061224489796000e+15 4.465898419988183741e+04
6.734693877551020000e+15 4.845070720371415518e+04
6.816326530612244000e+15 5.302464636647563748e+04
6.897959183673469000e+15 5.860759966657344921e+04
6.979591836734693000e+15 6.551741195699037780e+04
7.061224489795919000e+15 7.421085052993601130e+04
7.142857142857143000e+15 8.536366437893992406e+04
7.224489795918367000e+15 1.000100415927920549e+05
7.306122448979592000e+15 1.197973492593692936e+05
7.387755102040816000e+15 1.474781298561983567e+05
7.469387755102040000e+15 1.879250898915394791e+05
7.551020408163265000e+15 2.503953601969515730e+05
7.632653061224490000e+15 3.540655026809251285e+05
7.714285714285714000e+15 5.429675933164337184e+05
7.795918367346939000e+15 9.288856313302317867e+05
7.877551020408163000e+15 1.779970390177432448e+06
7.959183673469388000e+15 3.004184388679822441e+06
8.040816326530612000e+15 2.338293825613833498e+06
8.122448979591836000e+15 1.127715064349798486e+06
8.204081632653062000e+15 5.703010181814779062e+05
8.285714285714285000e+15 3.253064291738911415e+05
8.367346938775511000e+15 2.041773516670481185e+05
8.448979591836735000e+15 1.374207332913453865e+05
8.530612244897959000e+15 9.739544449549484125e+04
8.612244897959184000e+15 7.179579915169952437e+04
8.693877551020408000e+15 5.457730239409880596e+04
8.775510204081632000e+15 4.252294751495401579e+04
8.857142857142857000e+15 3.380535375287148054e+04
8.938775510204082000e+15 2.732956888195149804e+04
9.020408163265306000e+15 2.240975708789522832e+04
9.102040816326530000e+15 1.860000721086643171e+04
9.183673469387756000e+15 1.560104235992076428e+04
9.265306122448980000e+15 1.320643232104278832e+04
9.346938775510204000e+15 1.127036496161345349e+04
9.428571428571428000e+15 9.687677852424047160e+03
9.510204081632654000e+15 8.381117401217676161e+03
9.591836734693878000e+15 7.292995768693200262e+03
9.673469387755102000e+15 6.379599939684094352e+03
9.755102040816326000e+15 5.607366823438644133e+03
9.836734693877552000e+15 4.950217411777666712e+03
9.918367346938776000e+15 4.387667176559895779e+03
1.000000000000000000e+16 3.903466073416829659e+03
