# {'filename': '5nmAgSph_EE0MM0EM1_li-2_lf-1_xp0.0', 'beam': {'qz': 199725854668.28848, 'v': 133707436.268, 'q_colector': 1997258546.682885, 'q_aperture': 1997258546.682885, 'lf': -1, 'li': -2}, 'specimen': {'pos': [0.0, 0, 0], 'polsmultipliers': (0, 0, 1), 'shereradius': 5e-10, 'omega_p': 1.3825333775695496e+16, 'gamma_p': 227890117181793.88}, 'calculation': {'xrange': [-1e-08, 1e-08], 'yrange': [-1e-08, 1e-08], 'numxpoints': 50, 'numypoints': 50}, 'starttime': datetime.datetime(2022, 4, 22, 21, 39, 48, 173059), 'endtime': datetime.datetime(2022, 4, 23, 2, 48, 0, 850558)}
# omega	gamma
6.000000000000000000e+15 -1.543590538193211417e-04
6.081632653061224000e+15 -1.550415321677975355e-04
6.163265306122448000e+15 -1.560768895292790671e-04
6.244897959183673000e+15 -1.574960595494487303e-04
6.326530612244898000e+15 -1.593372444446371488e-04
6.408163265306123000e+15 -1.616476311516513748e-04
6.489795918367347000e+15 -1.644856595648743641e-04
6.571428571428571000e+15 -1.679240544182225732e-04
6.653061224489796000e+15 -1.720539299165852506e-04
6.734693877551020000e+15 -1.769904269316655823e-04
6.816326530612244000e+15 -1.828805796376859502e-04
6.897959183673469000e+15 -1.899144894948510498e-04
6.979591836734693000e+15 -1.983415107585037053e-04
7.061224489795919000e+15 -2.084942045865319465e-04
7.142857142857143000e+15 -2.208246297807153692e-04
7.224489795918367000e+15 -2.359607128138382394e-04
7.306122448979592000e+15 -2.547960621513535671e-04
7.387755102040816000e+15 -2.786363852689757595e-04
7.469387755102040000e+15 -3.094410446157983951e-04
7.551020408163265000e+15 -3.502112352990738027e-04
7.632653061224490000e+15 -4.055064963522344093e-04
7.714285714285714000e+15 -4.813320717439032500e-04
7.795918367346939000e+15 -5.778866585598984576e-04
7.877551020408163000e+15 -6.267726332271063251e-04
7.959183673469388000e+15 -2.294489635335926101e-04
8.040816326530612000e+15 4.798516046767270895e-04
8.122448979591836000e+15 5.556752728264335861e-04
8.204081632653062000e+15 4.484338563115578295e-04
8.285714285714285000e+15 3.532864576231076127e-04
8.367346938775511000e+15 2.842033885289495351e-04
8.448979591836735000e+15 2.341932851669382390e-04
8.530612244897959000e+15 1.970210039311765069e-04
8.612244897959184000e+15 1.685848678241002035e-04
8.693877551020408000e+15 1.462650363280296379e-04
8.775510204081632000e+15 1.283568513954493561e-04
8.857142857142857000e+15 1.137187437489183261e-04
8.938775510204082000e+15 1.015634480544152010e-04
9.020408163265306000e+15 9.133306016126606613e-05
9.102040816326530000e+15 8.262243559604271186e-05
9.183673469387756000e+15 7.513090627052586279e-05
9.265306122448980000e+15 6.863100354185017703e-05
9.346938775510204000e+15 6.294767201873314717e-05
9.428571428571428000e+15 5.794412663179810525e-05
9.510204081632654000e+15 5.351202143710798739e-05
9.591836734693878000e+15 4.956448140599205066e-05
9.673469387755102000e+15 4.603107541304446849e-05
9.755102040816326000e+15 4.285413087500790672e-05
9.836734693877552000e+15 3.998599206140244610e-05
9.918367346938776000e+15 3.738695293454015993e-05
1.000000000000000000e+16 3.502367928554176303e-05
