# {'filename': '5nmAgSph_EE0MM0EM1_li-5_lf-6_xp0.0', 'beam': {'qz': 199725854668.28848, 'v': 133707436.268, 'q_colector': 1997258546.682885, 'q_aperture': 1997258546.682885, 'lf': -6, 'li': -5}, 'specimen': {'pos': [0.0, 0, 0], 'polsmultipliers': (0, 0, 1), 'shereradius': 5e-10, 'omega_p': 1.3825333775695496e+16, 'gamma_p': 227890117181793.88}, 'calculation': {'xrange': [-1.5e-08, 1.5e-08], 'yrange': [-1.5e-08, 1.5e-08], 'numxpoints': 50, 'numypoints': 50}, 'starttime': datetime.datetime(2022, 4, 20, 19, 55, 3, 106875), 'endtime': datetime.datetime(2022, 4, 21, 1, 27, 27, 656574)}
# omega	gamma
6.000000000000000000e+15 -4.456346659464639716e-05
6.081632653061224000e+15 -4.460793243916950473e-05
6.163265306122448000e+15 -4.475312633215092727e-05
6.244897959183673000e+15 -4.500685443390907848e-05
6.326530612244898000e+15 -4.537888524177439341e-05
6.408163265306123000e+15 -4.588140307368701365e-05
6.489795918367347000e+15 -4.652960842051249947e-05
6.571428571428571000e+15 -4.734252130393413777e-05
6.653061224489796000e+15 -4.834406965756736946e-05
6.734693877551020000e+15 -4.956458472689894128e-05
6.816326530612244000e+15 -5.104288834406396256e-05
6.897959183673469000e+15 -5.282925793208467904e-05
6.979591836734693000e+15 -5.498972102040562389e-05
7.061224489795919000e+15 -5.761240984822156705e-05
7.142857142857143000e+15 -6.081718579080868579e-05
7.224489795918367000e+15 -6.477058239162137036e-05
7.306122448979592000e+15 -6.970959929322475244e-05
7.387755102040816000e+15 -7.598045576409675193e-05
7.469387755102040000e+15 -8.410242956479926089e-05
7.551020408163265000e+15 -9.487014507913143883e-05
7.632653061224490000e+15 -1.094884808539761228e-04
7.714285714285714000e+15 -1.295354817413196726e-04
7.795918367346939000e+15 -1.550108509890762661e-04
7.877551020408163000e+15 -1.675741617360977729e-04
7.959183673469388000e+15 -6.114525936025205040e-05
8.040816326530612000e+15 1.274574785950675308e-04
8.122448979591836000e+15 1.471170807205580261e-04
8.204081632653062000e+15 1.183384864314764696e-04
8.285714285714285000e+15 9.292703670863279673e-05
8.367346938775511000e+15 7.451328071468159850e-05
8.448979591836735000e+15 6.120262116664663076e-05
8.530612244897959000e+15 5.132170064180359323e-05
8.612244897959184000e+15 4.377254223929061212e-05
8.693877551020408000e+15 3.785472362826597853e-05
8.775510204081632000e+15 3.311285747607522892e-05
8.857142857142857000e+15 2.924215301660988657e-05
8.938775510204082000e+15 2.603250875051260144e-05
9.020408163265306000e+15 2.333508922668843882e-05
9.102040816326530000e+15 2.104184734966679915e-05
9.183673469387756000e+15 1.907262331662438909e-05
9.265306122448980000e+15 1.736679076830090662e-05
9.346938775510204000e+15 1.587770665240851851e-05
9.428571428571428000e+15 1.456893587369104714e-05
9.510204081632654000e+15 1.341162749984966083e-05
9.591836734693878000e+15 1.238265540657125708e-05
9.673469387755102000e+15 1.146327712624590323e-05
9.755102040816326000e+15 1.063815078465477197e-05
9.836734693877552000e+15 9.894603863874877703e-06
9.918367346938776000e+15 9.222081942318347282e-06
1.000000000000000000e+16 8.611727971331577816e-06
