# {'filename': '5nmAgSph_EE0MM0EM1_li-5_lf0_xp0.0', 'beam': {'qz': 199725854668.28848, 'v': 133707436.268, 'q_colector': 1997258546.682885, 'q_aperture': 1997258546.682885, 'lf': 0, 'li': -5}, 'specimen': {'pos': [0.0, 0, 0], 'polsmultipliers': (0, 0, 1), 'shereradius': 5e-10, 'omega_p': 1.3825333775695496e+16, 'gamma_p': 227890117181793.88}, 'calculation': {'xrange': [-1.5e-08, 1.5e-08], 'yrange': [-1.5e-08, 1.5e-08], 'numxpoints': 50, 'numypoints': 50}, 'starttime': datetime.datetime(2022, 4, 19, 21, 14, 3, 40619), 'endtime': datetime.datetime(2022, 4, 20, 2, 42, 5, 839357)}
# omega	gamma
6.000000000000000000e+15 -4.137181097727211165e-09
6.081632653061224000e+15 -4.130110683921830839e-09
6.163265306122448000e+15 -4.132486731738812413e-09
6.244897959183673000e+15 -4.144953383726291086e-09
6.326530612244898000e+15 -4.168329776686248364e-09
6.408163265306123000e+15 -4.203649518801074068e-09
6.489795918367347000e+15 -4.252213056673099971e-09
6.571428571428571000e+15 -4.315657845684028509e-09
6.653061224489796000e+15 -4.396053502884392664e-09
6.734693877551020000e+15 -4.496032621081549736e-09
6.816326530612244000e+15 -4.618973423967250199e-09
6.897959183673469000e+15 -4.769259278815753463e-09
6.979591836734693000e+15 -4.952654596735935865e-09
7.061224489795919000e+15 -5.176861027516834909e-09
7.142857142857143000e+15 -5.452359733252385469e-09
7.224489795918367000e+15 -5.793718806836879535e-09
7.306122448979592000e+15 -6.221674339674673980e-09
7.387755102040816000e+15 -6.766518031505964227e-09
7.469387755102040000e+15 -7.473672582297532012e-09
7.551020408163265000e+15 -8.412609227754604630e-09
7.632653061224490000e+15 -9.688545600832404104e-09
7.714285714285714000e+15 -1.143881984866743391e-08
7.795918367346939000e+15 -1.366061135991214339e-08
7.877551020408163000e+15 -1.473817882903889516e-08
7.959183673469388000e+15 -5.367121018747883023e-09
8.040816326530612000e+15 1.116602964737297782e-08
8.122448979591836000e+15 1.286365439733150634e-08
8.204081632653062000e+15 1.032780351032692160e-08
8.285714285714285000e+15 8.095012839493807634e-09
8.367346938775511000e+15 6.479110190344003937e-09
8.448979591836735000e+15 5.312153122586274841e-09
8.530612244897959000e+15 4.446651171807904336e-09
8.612244897959184000e+15 3.785975100017182484e-09
8.693877551020408000e+15 3.268529778900901065e-09
8.775510204081632000e+15 2.854287753775000212e-09
8.857142857142857000e+15 2.516468123902372602e-09
8.938775510204082000e+15 2.236615300567148764e-09
9.020408163265306000e+15 2.001658666149668598e-09
9.102040816326530000e+15 1.802111814930473416e-09
9.183673469387756000e+15 1.630938400463465018e-09
9.265306122448980000e+15 1.482817904616280352e-09
9.346938775510204000e+15 1.353657919558255667e-09
9.428571428571428000e+15 1.240262440850262186e-09
9.510204081632654000e+15 1.140101368725786918e-09
9.591836734693878000e+15 1.051147184388116930e-09
9.673469387755102000e+15 9.717571575232867537e-10
9.755102040816326000e+15 9.005870131526536388e-10
9.836734693877552000e+15 8.365267201432085118e-10
9.918367346938776000e+15 7.786520883677419702e-10
1.000000000000000000e+16 7.261878308718077332e-10
