# {'filename': '5nmAgSph_EE0MM0EM1_li0_lf-5_xp0.0', 'beam': {'qz': 199725854668.28848, 'v': 133707436.268, 'q_colector': 1997258546.682885, 'q_aperture': 1997258546.682885, 'lf': -5, 'li': 0}, 'specimen': {'pos': [0.0, 0, 0], 'polsmultipliers': (0, 0, 1), 'shereradius': 5e-10, 'omega_p': 1.3825333775695496e+16, 'gamma_p': 227890117181793.88}, 'calculation': {'xrange': [-1.5e-08, 1.5e-08], 'yrange': [-1.5e-08, 1.5e-08], 'numxpoints': 50, 'numypoints': 50}, 'starttime': datetime.datetime(2022, 4, 18, 9, 44, 55, 789875), 'endtime': datetime.datetime(2022, 4, 18, 15, 13, 5, 251746)}
# omega	gamma
6.000000000000000000e+15 -6.318647740177407034e-10
6.081632653061224000e+15 -6.325379420578048112e-10
6.163265306122448000e+15 -6.346494641470491653e-10
6.244897959183673000e+15 -6.383103374148857467e-10
6.326530612244898000e+15 -6.436595761916898442e-10
6.408163265306123000e+15 -6.508706755956808371e-10
6.489795918367347000e+15 -6.601601700971102343e-10
6.571428571428571000e+15 -6.717990876635952476e-10
6.653061224489796000e+15 -6.861284692497598980e-10
6.734693877551020000e+15 -7.035806936367850077e-10
6.816326530612244000e+15 -7.247092442984137559e-10
6.897959183673469000e+15 -7.502309957162380013e-10
6.979591836734693000e+15 -7.810874636429087895e-10
7.061224489795919000e+15 -8.185354412929064610e-10
7.142857142857143000e+15 -8.642842800520010990e-10
7.224489795918367000e+15 -9.207090463001402601e-10
7.306122448979592000e+15 -9.911899593637072312e-10
7.387755102040816000e+15 -1.080665300102702851e-09
7.469387755102040000e+15 -1.196542380270139134e-09
7.551020408163265000e+15 -1.350157675004045432e-09
7.632653061224490000e+15 -1.558704578736652982e-09
7.714285714285714000e+15 -1.844716294173862000e-09
7.795918367346939000e+15 -2.208275874858175001e-09
7.877551020408163000e+15 -2.388105620793902999e-09
7.959183673469388000e+15 -8.717045352366562046e-10
8.040816326530612000e+15 1.817760237695575493e-09
8.122448979591836000e+15 2.098958224420166874e-09
8.204081632653062000e+15 1.689043052559616036e-09
8.285714285714285000e+15 1.326891280468751125e-09
8.367346938775511000e+15 1.064412452696303984e-09
8.448979591836735000e+15 8.746487911618995171e-10
8.530612244897959000e+15 7.337641341807931730e-10
8.612244897959184000e+15 6.261137802453472573e-10
8.693877551020408000e+15 5.417162372798428885e-10
8.775510204081632000e+15 4.740813696389053496e-10
8.857142857142857000e+15 4.188650732057342579e-10
8.938775510204082000e+15 3.730726951380166836e-10
9.020408163265306000e+15 3.345827577409951183e-10
9.102040816326530000e+15 3.018551317154264881e-10
9.183673469387756000e+15 2.737471732825442707e-10
9.265306122448980000e+15 2.493946619714435739e-10
9.346938775510204000e+15 2.281326952583107757e-10
9.428571428571428000e+15 2.094418774964663272e-10
9.510204081632654000e+15 1.929109214065791923e-10
9.591836734693878000e+15 1.782101450530614107e-10
9.673469387755102000e+15 1.650723549113541306e-10
9.755102040816326000e+15 1.532788329603477576e-10
9.836734693877552000e+15 1.426489132560907030e-10
9.918367346938776000e+15 1.330321239040887601e-10
1.000000000000000000e+16 1.243021897281146869e-10
