# {'filename': '5nmAgSph_EE0MM0EM1_li1_lf-1_xp0.0', 'beam': {'qz': 199725854668.28848, 'v': 133707436.268, 'q_colector': 1997258546.682885, 'q_aperture': 1997258546.682885, 'lf': -1, 'li': 1}, 'specimen': {'pos': [0.0, 0, 0], 'polsmultipliers': (0, 0, 1), 'shereradius': 5e-10, 'omega_p': 1.3825333775695496e+16, 'gamma_p': 227890117181793.88}, 'calculation': {'xrange': [-1e-08, 1e-08], 'yrange': [-1e-08, 1e-08], 'numxpoints': 50, 'numypoints': 50}, 'starttime': datetime.datetime(2022, 4, 16, 19, 58, 56, 798867), 'endtime': datetime.datetime(2022, 4, 17, 0, 20, 22, 916704)}
# omega	gamma
6.000000000000000000e+15 -9.604262509389077311e-22
6.081632653061224000e+15 -1.002298403866261727e-21
6.163265306122448000e+15 -1.863069837110646253e-21
6.244897959183673000e+15 -1.693642216811749320e-21
6.326530612244898000e+15 -1.667906329113292447e-21
6.408163265306123000e+15 1.191176460694975198e-21
6.489795918367347000e+15 -5.654808612869109194e-22
6.571428571428571000e+15 1.458212875182219449e-21
6.653061224489796000e+15 -4.368553017907312353e-22
6.734693877551020000e+15 6.268842999091305721e-23
6.816326530612244000e+15 -2.704894581754598885e-22
6.897959183673469000e+15 7.792405620507673622e-22
6.979591836734693000e+15 -2.608883286625943804e-21
7.061224489795919000e+15 -1.790228902110374916e-21
7.142857142857143000e+15 -7.860564170300754847e-22
7.224489795918367000e+15 -1.054597997110956531e-21
7.306122448979592000e+15 -6.716506884504796437e-23
7.387755102040816000e+15 2.078627702779683874e-21
7.469387755102040000e+15 -3.688225734200620773e-21
7.551020408163265000e+15 -3.180361305877700785e-21
7.632653061224490000e+15 -6.029124876243495898e-21
7.714285714285714000e+15 -2.928096044044275819e-21
7.795918367346939000e+15 -4.229030710153751816e-21
7.877551020408163000e+15 1.665302657558920327e-21
7.959183673469388000e+15 -7.774753594720465164e-21
8.040816326530612000e+15 -7.509807157152439571e-21
8.122448979591836000e+15 -8.475882360152363025e-21
8.204081632653062000e+15 4.247228121935141180e-22
8.285714285714285000e+15 3.226295803887429570e-21
8.367346938775511000e+15 -4.145697827821525810e-21
8.448979591836735000e+15 1.402171302921313915e-21
8.530612244897959000e+15 6.528884937618103717e-22
8.612244897959184000e+15 -5.210136325281602686e-22
8.693877551020408000e+15 2.493401943754485653e-21
8.775510204081632000e+15 2.833716198560593193e-21
8.857142857142857000e+15 -1.093230966474596716e-21
8.938775510204082000e+15 1.335862939092032120e-21
9.020408163265306000e+15 6.590874799693279108e-22
9.102040816326530000e+15 -1.635548172931672853e-21
9.183673469387756000e+15 -7.157248097561116565e-22
9.265306122448980000e+15 3.229171857116533837e-22
9.346938775510204000e+15 -3.300606752061718912e-22
9.428571428571428000e+15 7.325600839304810814e-22
9.510204081632654000e+15 -5.402828980079058051e-22
9.591836734693878000e+15 -2.830407027033301460e-22
9.673469387755102000e+15 1.815237554975290595e-22
9.755102040816326000e+15 6.640512055408759416e-22
9.836734693877552000e+15 -4.616595849705065562e-22
9.918367346938776000e+15 -1.808204849367998941e-22
1.000000000000000000e+16 -2.178547830409235806e-23
