# {'filename': '5nmAgSph_EE0MM0EM1_li1_lf-1_xp2.5e-09', 'beam': {'qz': 199725854668.28848, 'v': 133707436.268, 'q_colector': 1997258546.682885, 'q_aperture': 1997258546.682885, 'lf': -1, 'li': 1}, 'specimen': {'pos': [2.5e-09, 0, 0], 'polsmultipliers': (0, 0, 1), 'shereradius': 5e-10, 'omega_p': 1.3825333775695496e+16, 'gamma_p': 227890117181793.88}, 'calculation': {'xrange': [-1e-08, 1e-08], 'yrange': [-1e-08, 1e-08], 'numxpoints': 50, 'numypoints': 50}, 'starttime': datetime.datetime(2022, 4, 24, 19, 20, 19, 419421), 'endtime': datetime.datetime(2022, 4, 25, 0, 36, 15, 616272)}
# omega	gamma
6.000000000000000000e+15 -1.800114883821170512e-06
6.081632653061224000e+15 -1.816257570597172534e-06
6.163265306122448000e+15 -1.836590088486523613e-06
6.244897959183673000e+15 -1.861533970729310689e-06
6.326530612244898000e+15 -1.891603029203998886e-06
6.408163265306123000e+15 -1.927425661999247075e-06
6.489795918367347000e+15 -1.969774285673333563e-06
6.571428571428571000e+15 -2.019604629977189157e-06
6.653061224489796000e+15 -2.078108895409425902e-06
6.734693877551020000e+15 -2.146788725119418519e-06
6.816326530612244000e+15 -2.227557013032795726e-06
6.897959183673469000e+15 -2.322882507265615127e-06
6.979591836734693000e+15 -2.435999286961882786e-06
7.061224489795919000e+15 -2.571216849820180384e-06
7.142857142857143000e+15 -2.734390061502069752e-06
7.224489795918367000e+15 -2.933649489451554125e-06
7.306122448979592000e+15 -3.180565875380598661e-06
7.387755102040816000e+15 -3.492050491037785365e-06
7.469387755102040000e+15 -3.893495694560831441e-06
7.551020408163265000e+15 -4.423838615609162271e-06
7.632653061224490000e+15 -5.142366122142086201e-06
7.714285714285714000e+15 -6.127661069293014027e-06
7.795918367346939000e+15 -7.385269676386009800e-06
7.877551020408163000e+15 -8.040752185020521740e-06
7.959183673469388000e+15 -2.954779821596462422e-06
8.040816326530612000e+15 6.202802554285371206e-06
8.122448979591836000e+15 7.209976668394869041e-06
8.204081632653062000e+15 5.840270359212414221e-06
8.285714285714285000e+15 4.618207982566833222e-06
8.367346938775511000e+15 3.728876795390232939e-06
8.448979591836735000e+15 3.084011745985457371e-06
8.530612244897959000e+15 2.603979725545996600e-06
8.612244897959184000e+15 2.236237843952729983e-06
8.693877551020408000e+15 1.947176244642431269e-06
8.775510204081632000e+15 1.714905875467796299e-06
8.857142857142857000e+15 1.524758585415761680e-06
8.938775510204082000e+15 1.366613556369888927e-06
9.020408163265306000e+15 1.233295496007817141e-06
9.102040816326530000e+15 1.119591804883866984e-06
9.183673469387756000e+15 1.021632720900151433e-06
9.265306122448980000e+15 9.364896100955392333e-07
9.346938775510204000e+15 8.619079008709316897e-07
9.428571428571428000e+15 7.961253184127040243e-07
9.510204081632654000e+15 7.377455017773455719e-07
9.591836734693878000e+15 6.856484058148923745e-07
9.673469387755102000e+15 6.389256506350660368e-07
9.755102040816326000e+15 5.968331171774187890e-07
9.836734693877552000e+15 5.587556753863174233e-07
9.918367346938776000e+15 5.241805861530988569e-07
1.000000000000000000e+16 4.926771960509311726e-07
