# {'filename': '5nmAgSph_EE0MM0EM1_li6_lf5_xp0.0', 'beam': {'qz': 199725854668.28848, 'v': 133707436.268, 'q_colector': 1997258546.682885, 'q_aperture': 1997258546.682885, 'lf': 5, 'li': 6}, 'specimen': {'pos': [0.0, 0, 0], 'polsmultipliers': (0, 0, 1), 'shereradius': 5e-10, 'omega_p': 1.3825333775695496e+16, 'gamma_p': 227890117181793.88}, 'calculation': {'xrange': [-1.5e-08, 1.5e-08], 'yrange': [-1.5e-08, 1.5e-08], 'numxpoints': 50, 'numypoints': 50}, 'starttime': datetime.datetime(2022, 4, 19, 8, 47, 15, 316042), 'endtime': datetime.datetime(2022, 4, 19, 14, 11, 14, 707993)}
# omega	gamma
6.000000000000000000e+15 4.470965682896336569e-05
6.081632653061224000e+15 4.477507021610015707e-05
6.163265306122448000e+15 4.494159470656235893e-05
6.244897959183673000e+15 4.521721429649927835e-05
6.326530612244898000e+15 4.561189866309104610e-05
6.408163265306123000e+15 4.613806359480768774e-05
6.489795918367347000e+15 4.681118037753975085e-05
6.571428571428571000e+15 4.765059109372135924e-05
6.653061224489796000e+15 4.868061305051679254e-05
6.734693877551020000e+15 4.993205611630851533e-05
6.816326530612244000e+15 5.144434052845170001e-05
6.897959183673469000e+15 5.326850522249696151e-05
6.979591836734693000e+15 5.547156511594713858e-05
7.061224489795919000e+15 5.814295872221941758e-05
7.142857142857143000e+15 6.140431380649254752e-05
7.224489795918367000e+15 6.542461053255315914e-05
7.306122448979592000e+15 7.044432782557397024e-05
7.387755102040816000e+15 7.681477563801085060e-05
7.469387755102040000e+15 8.506289989445516995e-05
7.551020408163265000e+15 9.599515844944554515e-05
7.632653061224490000e+15 1.108346824667542820e-04
7.714285714285714000e+15 1.311846003354313873e-04
7.795918367346939000e+15 1.570516333912563931e-04
7.877551020408163000e+15 1.698529337468332305e-04
7.959183673469388000e+15 6.200316127376877642e-05
8.040816326530612000e+15 -1.293006841621530090e-04
8.122448979591836000e+15 -1.493077945847258686e-04
8.204081632653062000e+15 -1.201513644521061847e-04
8.285714285714285000e+15 -9.439033803806261183e-05
8.367346938775511000e+15 -7.571838538999962616e-05
8.448979591836735000e+15 -6.221847278150904404e-05
8.530612244897959000e+15 -5.219531167258002172e-05
8.612244897959184000e+15 -4.453616663659360435e-05
8.693877551020408000e+15 -3.853108442132523734e-05
8.775510204081632000e+15 -3.371843365222061001e-05
8.857142857142857000e+15 -2.978922158835234805e-05
8.938775510204082000e+15 -2.653043772925700429e-05
9.020408163265306000e+15 -2.379117839401496319e-05
9.102040816326530000e+15 -2.146189015460665849e-05
9.183673469387756000e+15 -1.946129223962320601e-05
9.265306122448980000e+15 -1.772790795263546462e-05
9.346938775510204000e+15 -1.621443808386119397e-05
9.428571428571428000e+15 -1.488393342809670284e-05
9.510204081632654000e+15 -1.370713468402350903e-05
9.591836734693878000e+15 -1.266058732350327164e-05
9.673469387755102000e+15 -1.172528181796703782e-05
9.755102040816326000e+15 -1.088565690467404189e-05
9.836734693877552000e+15 -1.012885816702026621e-05
9.918367346938776000e+15 -9.444179088190965789e-06
1.000000000000000000e+16 -8.822634454106313508e-06
