# {'filename': '5nmAgSph_EE1MM0EM0_li0_lf-5_xp2e-09', 'beam': {'qz': 199725854668.28848, 'v': 133707436.268, 'q_colector': 1997258546.682885, 'q_aperture': 1997258546.682885, 'lf': -5, 'li': 0}, 'specimen': {'pos': [2e-09, 0, 0], 'polsmultipliers': (1, 0, 0), 'shereradius': 5e-10, 'omega_p': 1.3825333775695496e+16, 'gamma_p': 227890117181793.88}, 'calculation': {'xrange': [-1.5e-08, 1.5e-08], 'yrange': [-1.5e-08, 1.5e-08], 'numxpoints': 50, 'numypoints': 50}, 'starttime': datetime.datetime(2022, 4, 20, 8, 56, 46, 300024), 'endtime': datetime.datetime(2022, 4, 20, 14, 41, 50, 205077)}
# omega	gamma
6.000000000000000000e+15 3.391681595229504751e+02
6.081632653061224000e+15 3.593553028117244708e+02
6.163265306122448000e+15 3.822356175395289597e+02
6.244897959183673000e+15 4.082990596678260431e+02
6.326530612244898000e+15 4.381555979826387670e+02
6.408163265306123000e+15 4.725724511313838434e+02
6.489795918367347000e+15 5.125255892153113564e+02
6.571428571428571000e+15 5.592721147702527560e+02
6.653061224489796000e+15 6.144537915440564575e+02
6.734693877551020000e+15 6.802480420387573758e+02
6.816326530612244000e+15 7.595930114978410757e+02
6.897959183673469000e+15 8.565312800906018538e+02
6.979591836734693000e+15 9.767493407248930453e+02
7.061224489795919000e+15 1.128451063533668048e+03
7.142857142857143000e+15 1.323823049776919561e+03
7.224489795918367000e+15 1.581595741620340050e+03
7.306122448979592000e+15 1.931738143893722508e+03
7.387755102040816000e+15 2.424558920928398948e+03
7.469387755102040000e+15 3.149557716982147667e+03
7.551020408163265000e+15 4.277667799733030733e+03
7.632653061224490000e+15 6.165060024932034139e+03
7.714285714285714000e+15 9.635141565205656661e+03
7.795918367346939000e+15 1.679713143772756666e+04
7.877551020408163000e+15 3.279692451317764790e+04
7.959183673469388000e+15 5.639670706277647696e+04
8.040816326530612000e+15 4.471909121275204234e+04
8.122448979591836000e+15 2.196951308616921597e+04
8.204081632653062000e+15 1.131653095031906741e+04
8.285714285714285000e+15 6.574328315861087503e+03
8.367346938775511000e+15 4.202210653294612712e+03
8.448979591836735000e+15 2.880026145880035074e+03
8.530612244897959000e+15 2.078354304564197264e+03
8.612244897959184000e+15 1.559839959846759484e+03
8.693877551020408000e+15 1.207137822895477257e+03
8.775510204081632000e+15 9.574058200975159707e+02
8.857142857142857000e+15 7.747304437458864186e+02
8.938775510204082000e+15 6.374634079324214326e+02
9.020408163265306000e+15 5.319640079104987080e+02
9.102040816326530000e+15 4.493104020149728512e+02
9.183673469387756000e+15 3.834786803472127872e+02
9.265306122448980000e+15 3.302886811857980547e+02
9.346938775510204000e+15 2.867697814360028019e+02
9.428571428571428000e+15 2.507663667082450729e+02
9.510204081632654000e+15 2.206850899623307782e+02
9.591836734693878000e+15 1.953287051862324972e+02
9.673469387755102000e+15 1.737842673396957309e+02
9.755102040816326000e+15 1.553463387109712812e+02
9.836734693877552000e+15 1.394632495275778012e+02
9.918367346938776000e+15 1.256988512154833444e+02
1.000000000000000000e+16 1.137048767617306169e+02
