# {'filename': '5nmAgSph_EE1MM0EM0_li0_lf0_xp2e-09', 'beam': {'qz': 199725854668.28848, 'v': 133707436.268, 'q_colector': 1997258546.682885, 'q_aperture': 1997258546.682885, 'lf': 0, 'li': 0}, 'specimen': {'pos': [2e-09, 0, 0], 'polsmultipliers': (1, 0, 0), 'shereradius': 5e-10, 'omega_p': 1.3825333775695496e+16, 'gamma_p': 227890117181793.88}, 'calculation': {'xrange': [-1e-08, 1e-08], 'yrange': [-1e-08, 1e-08], 'numxpoints': 50, 'numypoints': 50}, 'starttime': datetime.datetime(2022, 4, 19, 8, 40, 5, 296498), 'endtime': datetime.datetime(2022, 4, 19, 13, 55, 19, 112829)}
# omega	gamma
6.000000000000000000e+15 3.945620874024471045e+08
6.081632653061224000e+15 4.141103545621746778e+08
6.163265306122448000e+15 4.363672742766217589e+08
6.244897959183673000e+15 4.618114345461931825e+08
6.326530612244898000e+15 4.910382685314089656e+08
6.408163265306123000e+15 5.247960616312890053e+08
6.489795918367347000e+15 5.640356965237635374e+08
6.571428571428571000e+15 6.099804852848262787e+08
6.653061224489796000e+15 6.642259339050011635e+08
6.734693877551020000e+15 7.288850725176765919e+08
6.816326530612244000e+15 8.068048019564458132e+08
6.897959183673469000e+15 9.018958704298735857e+08
6.979591836734693000e+15 1.019650113120193362e+09
7.061224489795919000e+15 1.167976781642555237e+09
7.142857142857143000e+15 1.358603646139120102e+09
7.224489795918367000e+15 1.609522270869213581e+09
7.306122448979592000e+15 1.949463631236884594e+09
7.387755102040816000e+15 2.426560587026887417e+09
7.469387755102040000e+15 3.126259757782363892e+09
7.551020408163265000e+15 4.211382347105051517e+09
7.632653061224490000e+15 6.020347622216666222e+09
7.714285714285714000e+15 9.333252287569866180e+09
7.795918367346939000e+15 1.614076759843602371e+10
7.877551020408163000e+15 3.126506795544927979e+10
7.959183673469388000e+15 5.333837343329951477e+10
8.040816326530612000e+15 4.196245377402132416e+10
8.122448979591836000e+15 2.045464325421812057e+10
8.204081632653062000e+15 1.045465308010007477e+10
8.285714285714285000e+15 6.026891625339818001e+09
8.367346938775511000e+15 3.822838460930367947e+09
8.448979591836735000e+15 2.600104206517583370e+09
8.530612244897959000e+15 1.862171990567684889e+09
8.612244897959184000e+15 1.387092572782601595e+09
8.693877551020408000e+15 1.065433685697422504e+09
8.775510204081632000e+15 8.387420288104382753e+08
8.857142857142857000e+15 6.736960781957930326e+08
8.938775510204082000e+15 5.502596417074860334e+08
9.020408163265306000e+15 4.558387957244491577e+08
9.102040816326530000e+15 3.822165269898203015e+08
9.183673469387756000e+15 3.238584132231635451e+08
9.265306122448980000e+15 2.769334035755315423e+08
9.346938775510204000e+15 2.387256947493879497e+08
9.428571428571428000e+15 2.072694773063910902e+08
9.510204081632654000e+15 1.811153352813453376e+08
9.591836734693878000e+15 1.591769169642304778e+08
9.673469387755102000e+15 1.406279415606241524e+08
9.755102040816326000e+15 1.248315711918450892e+08
9.836734693877552000e+15 1.112910676042375416e+08
9.918367346938776000e+15 9.961473233476564288e+07
1.000000000000000000e+16 8.949061212102787197e+07
