# {'filename': '5nmAgSph_EE1MM0EM0_li5_lf5_xp1e-09', 'beam': {'qz': 199725854668.28848, 'v': 133707436.268, 'q_colector': 1997258546.682885, 'q_aperture': 1997258546.682885, 'lf': 5, 'li': 5}, 'specimen': {'pos': [1e-09, 0, 0], 'polsmultipliers': (1, 0, 0), 'shereradius': 5e-10, 'omega_p': 1.3825333775695496e+16, 'gamma_p': 227890117181793.88}, 'calculation': {'xrange': [-1.5e-08, 1.5e-08], 'yrange': [-1.5e-08, 1.5e-08], 'numxpoints': 50, 'numypoints': 50}, 'starttime': datetime.datetime(2022, 4, 18, 9, 23, 42, 62244), 'endtime': datetime.datetime(2022, 4, 18, 14, 50, 56, 484642)}
# omega	gamma
6.000000000000000000e+15 2.053208832813374102e+08
6.081632653061224000e+15 2.147626197508041859e+08
6.163265306122448000e+15 2.255414430003257096e+08
6.244897959183673000e+15 2.378904704112016857e+08
6.326530612244898000e+15 2.520997107984768450e+08
6.408163265306123000e+15 2.685335468867927790e+08
6.489795918367347000e+15 2.876548780965157747e+08
6.571428571428571000e+15 3.100589977460670471e+08
6.653061224489796000e+15 3.365219695631588101e+08
6.734693877551020000e+15 3.680710668473339081e+08
6.816326530612244000e+15 4.060895822747107744e+08
6.897959183673469000e+15 4.524766080430027843e+08
6.979591836734693000e+15 5.098973657730829716e+08
7.061224489795919000e+15 5.821877572698261738e+08
7.142857142857143000e+15 6.750317443234009743e+08
7.224489795918367000e+15 7.971428869241935015e+08
7.306122448979592000e+15 9.624256610563076735e+08
7.387755102040816000e+15 1.194156051918504715e+09
7.469387755102040000e+15 1.533620200605784178e+09
7.551020408163265000e+15 2.059420773233131886e+09
7.632653061224490000e+15 2.934772219985090733e+09
7.714285714285714000e+15 4.535476553579120636e+09
7.795918367346939000e+15 7.819082435864147186e+09
7.877551020408163000e+15 1.509861777435237503e+10
7.959183673469388000e+15 2.567841616567962646e+10
8.040816326530612000e+15 2.013929970270057297e+10
8.122448979591836000e+15 9.786665017555822372e+09
8.204081632653062000e+15 4.986731636239805222e+09
8.285714285714285000e+15 2.865942516127294064e+09
8.367346938775511000e+15 1.812307391188016415e+09
8.448979591836735000e+15 1.228888631348961115e+09
8.530612244897959000e+15 8.774480115046143532e+08
8.612244897959184000e+15 6.516145828445253372e+08
8.693877551020408000e+15 4.989986507604874969e+08
8.775510204081632000e+15 3.916451465056870580e+08
8.857142857142857000e+15 3.136342608919162750e+08
8.938775510204082000e+15 2.554029808277280331e+08
9.020408163265306000e+15 2.109463614968332648e+08
9.102040816326530000e+15 1.763503191522876918e+08
9.183673469387756000e+15 1.489812227453763485e+08
9.265306122448980000e+15 1.270178437450083494e+08
9.346938775510204000e+15 1.091704325308849216e+08
9.428571428571428000e+15 9.450636795989672840e+07
9.510204081632654000e+15 8.233872485963471234e+07
9.591836734693878000e+15 7.215318143271359801e+07
9.673469387755102000e+15 6.355895476674818248e+07
9.755102040816326000e+15 5.625517726365226507e+07
9.836734693877552000e+15 5.000742179013797641e+07
9.918367346938776000e+15 4.463103341772359610e+07
1.000000000000000000e+16 3.997911195617699623e+07
