# {'filename': '5AngAgSphere_20220412_220727', 'beam': {'qz': 199725854668.28848, 'v': 133707436.268, 'q_colector': 1997258546.682885, 'q_aperture': 1997258546.682885, 'lf': 1, 'li': 1}, 'specimen': {'pos': [2.8e-09, 0, 0], 'polsmultipliers': (0, 0, 1), 'shereradius': 5e-10, 'omega_p': 1.3825333775695496e+16, 'gamma_p': 227890117181793.88}, 'calculation': {'xrange': [-1e-08, 1e-08], 'yrange': [-1e-08, 1e-08], 'numxpoints': 50, 'numypoints': 50}, 'starttime': datetime.datetime(2022, 4, 12, 22, 7, 27, 559933), 'endtime': datetime.datetime(2022, 4, 13, 1, 55, 38, 502926)}
# omega	gamma
 (4.557802343635878000e+15+0.000000000000000000e+00j)  (2.105562154136301875e+08-1.010794246918289563e+00j)
 (4.743835092355710000e+15+0.000000000000000000e+00j)  (2.128681649279614091e+08-1.005577616736197388e+00j)
 (4.929867841075541000e+15+0.000000000000000000e+00j)  (2.172224729749287069e+08-1.005490199831243325e+00j)
 (5.115900589795373000e+15+0.000000000000000000e+00j)  (2.238886394810744524e+08-1.010818771883546630e+00j)
 (5.301933338515205000e+15+0.000000000000000000e+00j)  (2.332674887045140862e+08-1.022037797491045952e+00j)
 (5.487966087235037000e+15+0.000000000000000000e+00j)  (2.459416244865617752e+08-1.039858562535913356e+00j)
 (5.673998835954868000e+15+0.000000000000000000e+00j)  (2.627563110748119652e+08-1.065306033316886669e+00j)
 (5.860031584674700000e+15+0.000000000000000000e+00j)  (2.849519081701532602e+08-1.099839087074969024e+00j)
 (6.046064333394533000e+15+0.000000000000000000e+00j)  (3.143877149832332134e+08-1.145541772114017753e+00j)
 (6.232097082114364000e+15+0.000000000000000000e+00j)  (3.539361004052573442e+08-1.205436329273684493e+00j)
 (6.418129830834196000e+15+0.000000000000000000e+00j)  (4.082123533320210576e+08-1.284015415066110055e+00j)
 (6.604162579554027000e+15+0.000000000000000000e+00j)  (4.850123570891329050e+08-1.388191634118682627e+00j)
 (6.790195328273859000e+15+0.000000000000000000e+00j)  (5.983695642788339853e+08-1.529095549384809516e+00j)
 (6.976228076993692000e+15+0.000000000000000000e+00j)  (7.757143533728352785e+08-1.725741202070529168e+00j)
 (7.162260825713523000e+15+0.000000000000000000e+00j)  (1.076888925413496017e+09-2.013219795911882049e+00j)
 (7.348293574433354000e+15+0.000000000000000000e+00j)  (1.654059682559166670e+09-2.463231510612924335e+00j)
 (7.534326323153186000e+15+0.000000000000000000e+00j)  (2.993007855303089619e+09-3.242497908926551542e+00j)
 (7.720359071873018000e+15+0.000000000000000000e+00j)  (7.324401977152795792e+09-4.771154573203104654e+00j)
 (7.906391820592849000e+15+0.000000000000000000e+00j)  (2.980400060482709885e+10-5.746497725235806264e+00j)
 (8.092424569312682000e+15+0.000000000000000000e+00j)  (2.020651668911516571e+10+5.919880457418575936e+00j)
 (8.278457318032512000e+15+0.000000000000000000e+00j)  (4.730181647735380173e+09+3.814757151863461093e+00j)
 (8.464490066752345000e+15+0.000000000000000000e+00j)  (1.820418497566266060e+09+2.454364960887096103e+00j)
 (8.650522815472177000e+15+0.000000000000000000e+00j)  (9.120870861959838867e+08+1.750136570585701046e+00j)
 (8.836555564192009000e+15+0.000000000000000000e+00j)  (5.293577691610551476e+08+1.333331117769958718e+00j)
 (9.022588312911840000e+15+0.000000000000000000e+00j)  (3.369908142718815804e+08+1.061058314757618692e+00j)
 (9.208621061631672000e+15+0.000000000000000000e+00j)  (2.285582144551731348e+08+8.705655059664295647e-01j)
 (9.394653810351504000e+15+0.000000000000000000e+00j)  (1.623298264769427776e+08+7.305291536199438607e-01j)
