# {'filename': '5AngAgSphere_20220412_221248', 'beam': {'qz': 199725854668.28848, 'v': 133707436.268, 'q_colector': 1997258546.682885, 'q_aperture': 1997258546.682885, 'lf': -1, 'li': -1}, 'specimen': {'pos': [2.8e-09, 0, 0], 'polsmultipliers': (0, 0, 1), 'shereradius': 5e-10, 'omega_p': 1.3825333775695496e+16, 'gamma_p': 227890117181793.88}, 'calculation': {'xrange': [-1e-08, 1e-08], 'yrange': [-1e-08, 1e-08], 'numxpoints': 50, 'numypoints': 50}, 'starttime': datetime.datetime(2022, 4, 12, 22, 12, 48, 600540), 'endtime': datetime.datetime(2022, 4, 13, 2, 0, 4, 863255)}
# omega	gamma
 (4.557802343635878000e+15+0.000000000000000000e+00j)  (2.105562154136305451e+08-1.010794247041489458e+00j)
 (4.743835092355710000e+15+0.000000000000000000e+00j)  (2.128681649279609323e+08-1.005577616760920501e+00j)
 (4.929867841075541000e+15+0.000000000000000000e+00j)  (2.172224729749286473e+08-1.005490199977703947e+00j)
 (5.115900589795373000e+15+0.000000000000000000e+00j)  (2.238886394810746908e+08-1.010818772286671940e+00j)
 (5.301933338515205000e+15+0.000000000000000000e+00j)  (2.332674887045141757e+08-1.022037797387302938e+00j)
 (5.487966087235037000e+15+0.000000000000000000e+00j)  (2.459416244865615368e+08-1.039858562699945033e+00j)
 (5.673998835954868000e+15+0.000000000000000000e+00j)  (2.627563110748122036e+08-1.065306033318182299e+00j)
 (5.860031584674700000e+15+0.000000000000000000e+00j)  (2.849519081701535583e+08-1.099839087184320441e+00j)
 (6.046064333394533000e+15+0.000000000000000000e+00j)  (3.143877149832336307e+08-1.145541772509631961e+00j)
 (6.232097082114364000e+15+0.000000000000000000e+00j)  (3.539361004052575827e+08-1.205436329335873413e+00j)
 (6.418129830834196000e+15+0.000000000000000000e+00j)  (4.082123533320214152e+08-1.284015415386543735e+00j)
 (6.604162579554027000e+15+0.000000000000000000e+00j)  (4.850123570891337991e+08-1.388191634750962189e+00j)
 (6.790195328273859000e+15+0.000000000000000000e+00j)  (5.983695642788339853e+08-1.529095549536026777e+00j)
 (6.976228076993692000e+15+0.000000000000000000e+00j)  (7.757143533728333712e+08-1.725741203052946648e+00j)
 (7.162260825713523000e+15+0.000000000000000000e+00j)  (1.076888925413498640e+09-2.013219797979477033e+00j)
 (7.348293574433354000e+15+0.000000000000000000e+00j)  (1.654059682559164524e+09-2.463231511964377507e+00j)
 (7.534326323153186000e+15+0.000000000000000000e+00j)  (2.993007855303096294e+09-3.242497912480917233e+00j)
 (7.720359071873018000e+15+0.000000000000000000e+00j)  (7.324401977152797699e+09-4.771154579952079366e+00j)
 (7.906391820592849000e+15+0.000000000000000000e+00j)  (2.980400060482712173e+10-5.746497730051290276e+00j)
 (8.092424569312682000e+15+0.000000000000000000e+00j)  (2.020651668911517715e+10+5.919880440622188544e+00j)
 (8.278457318032512000e+15+0.000000000000000000e+00j)  (4.730181647735373497e+09+3.814757149157259164e+00j)
 (8.464490066752345000e+15+0.000000000000000000e+00j)  (1.820418497566265583e+09+2.454364961076394902e+00j)
 (8.650522815472177000e+15+0.000000000000000000e+00j)  (9.120870861959847212e+08+1.750136569750901261e+00j)
 (8.836555564192009000e+15+0.000000000000000000e+00j)  (5.293577691610550284e+08+1.333331117424846113e+00j)
 (9.022588312911840000e+15+0.000000000000000000e+00j)  (3.369908142718817592e+08+1.061058314845366279e+00j)
 (9.208621061631672000e+15+0.000000000000000000e+00j)  (2.285582144551724792e+08+8.705655056017189697e-01j)
 (9.394653810351504000e+15+0.000000000000000000e+00j)  (1.623298264769429564e+08+7.305291534311195711e-01j)
 (9.580686559071334000e+15+0.000000000000000000e+00j)  (1.194091297839849442e+08+6.236952953369250263e-01j)
 (9.766719307791168000e+15+0.000000000000000000e+00j)  (9.029732249191945791e+07+5.398162150695179351e-01j)
 (9.952752056510998000e+15+0.000000000000000000e+00j)  (6.982587945472794771e+07+4.724364943280949802e-01j)
 (1.013878480523083000e+16+0.000000000000000000e+00j)  (5.500201752627795190e+07+4.172938040236625623e-01j)
 (1.032481755395066200e+16+0.000000000000000000e+00j)  (4.400370859685336798e+07+3.714638052248758204e-01j)
 (1.051085030267049400e+16+0.000000000000000000e+00j)  (3.567494986876616627e+07+3.328752397263629592e-01j)
 (1.069688305139032600e+16+0.000000000000000000e+00j)  (2.925650377641762793e+07+3.000211925563092130e-01j)
 (1.088291580011015800e+16+0.000000000000000000e+00j)  (2.423484926124813408e+07+2.717799483649378511e-01j)
 (1.106894854882999000e+16+0.000000000000000000e+00j)  (2.025376537511946261e+07+2.472998720864211242e-01j)
 (1.125498129754982000e+16+0.000000000000000000e+00j)  (1.706065453695227951e+07+2.259231599246497579e-01j)
 (1.144101404626965200e+16+0.000000000000000000e+00j)  (1.447290926111558080e+07+2.071339836710040516e-01j)
 (1.162704679498948400e+16+0.000000000000000000e+00j)  (1.235624648104433902e+07+1.905223976551749521e-01j)
 (1.181307954370931400e+16+0.000000000000000000e+00j)  (1.061040578889647871e+07+1.757586949197900150e-01j)
 (1.199911229242914800e+16+0.000000000000000000e+00j)  (9.159501351807026193e+06+1.625748507967683942e-01j)
 (1.218514504114897800e+16+0.000000000000000000e+00j)  (7.945385295120834373e+06+1.507508722533364709e-01j)
 (1.237117778986881200e+16+0.000000000000000000e+00j)  (6.923001974491119385e+06+1.401046061708425272e-01j)
 (1.255721053858864400e+16+0.000000000000000000e+00j)  (6.057083869686666876e+06+1.304840269638801176e-01j)
 (1.274324328730847600e+16+0.000000000000000000e+00j)  (5.319767550422779284e+06+1.217613286434152398e-01j)
 (1.292927603602830600e+16+0.000000000000000000e+00j)  (4.688850696808695793e+06+1.138283480621996441e-01j)
 (1.311530878474813800e+16+0.000000000000000000e+00j)  (4.146502297311423812e+06+1.065929828563457193e-01j)
