# {'filename': '5AngAgSphere_20220412_223538', 'beam': {'qz': 199725854668.28848, 'v': 133707436.268, 'q_colector': 1997258546.682885, 'q_aperture': 1997258546.682885, 'lf': 1, 'li': -1}, 'specimen': {'pos': [2.8e-09, 0, 0], 'polsmultipliers': (0, 0, 1), 'shereradius': 5e-10, 'omega_p': 1.3825333775695496e+16, 'gamma_p': 227890117181793.88}, 'calculation': {'xrange': [-1e-08, 1e-08], 'yrange': [-1e-08, 1e-08], 'numxpoints': 50, 'numypoints': 50}, 'starttime': datetime.datetime(2022, 4, 12, 22, 35, 38, 237699), 'endtime': datetime.datetime(2022, 4, 13, 2, 21, 21, 194135)}
# omega	gamma
 (4.557802343635878000e+15+0.000000000000000000e+00j)  (2.116655109225829365e+05-6.420429482102903151e-02j)
 (4.743835092355710000e+15+0.000000000000000000e+00j)  (2.207223634665809805e+05-6.425060410414730472e-02j)
 (4.929867841075541000e+15+0.000000000000000000e+00j)  (2.321427324661010061e+05-6.462102941602194950e-02j)
 (5.115900589795373000e+15+0.000000000000000000e+00j)  (2.464225886126403930e+05-6.534014785489404564e-02j)
 (5.301933338515205000e+15+0.000000000000000000e+00j)  (2.642434477214335930e+05-6.644508997587586507e-02j)
 (5.487966087235037000e+15+0.000000000000000000e+00j)  (2.865531109119691537e+05-6.798912052745673118e-02j)
 (5.673998835954868000e+15+0.000000000000000000e+00j)  (3.146931100768384058e+05-7.004713706884699298e-02j)
 (5.860031584674700000e+15+0.000000000000000000e+00j)  (3.506060843972348957e+05-7.272421118207883506e-02j)
 (6.046064333394533000e+15+0.000000000000000000e+00j)  (3.971857423600699403e+05-7.616911331920393768e-02j)
 (6.232097082114364000e+15+0.000000000000000000e+00j)  (4.588935843375509721e+05-8.059640301958792552e-02j)
 (6.418129830834196000e+15+0.000000000000000000e+00j)  (5.429033872695451137e+05-8.632395989137087167e-02j)
 (6.604162579554027000e+15+0.000000000000000000e+00j)  (6.613619848525029374e+05-9.383987815833702562e-02j)
 (6.790195328273859000e+15+0.000000000000000000e+00j)  (8.362118933805255219e+05-1.039291825827075438e-01j)
 (6.976228076993692000e+15+0.000000000000000000e+00j)  (1.110525244011362782e+06-1.179321252515923568e-01j)
 (7.162260825713523000e+15+0.000000000000000000e+00j)  (1.578719239426256856e+06-1.383217760857783363e-01j)
 (7.348293574433354000e+15+0.000000000000000000e+00j)  (2.482149027688012458e+06-1.701521435702620655e-01j)
 (7.534326323153186000e+15+0.000000000000000000e+00j)  (4.595890437829097733e+06-2.251827654548074764e-01j)
 (7.720359071873018000e+15+0.000000000000000000e+00j)  (1.150451243290560320e+07-3.331141950689964215e-01j)
 (7.906391820592849000e+15+0.000000000000000000e+00j)  (4.786964000038857758e+07-4.033466714728254909e-01j)
 (8.092424569312682000e+15+0.000000000000000000e+00j)  (3.317628288136404008e+07+4.177201821425439721e-01j)
 (8.278457318032512000e+15+0.000000000000000000e+00j)  (7.936542099071734585e+06+2.706007491904161566e-01j)
 (8.464490066752345000e+15+0.000000000000000000e+00j)  (3.120424214881309774e+06+1.750181760917521034e-01j)
 (8.650522815472177000e+15+0.000000000000000000e+00j)  (1.596776198510093149e+06+1.254557915388227474e-01j)
 (8.836555564192009000e+15+0.000000000000000000e+00j)  (9.462444248579837149e+05+9.607814209185029652e-02j)
 (9.022588312911840000e+15+0.000000000000000000e+00j)  (6.148987372950352728e+05+7.685762854951905254e-02j)
 (9.208621061631672000e+15+0.000000000000000000e+00j)  (4.256014184050494223e+05+6.338754077301295142e-02j)
 (9.394653810351504000e+15+0.000000000000000000e+00j)  (3.084027383236946771e+05+5.346732877525488953e-02j)
 (9.580686559071334000e+15+0.000000000000000000e+00j)  (2.314022882354200410e+05+4.588448732375467048e-02j)
 (9.766719307791168000e+15+0.000000000000000000e+00j)  (1.784494147397615598e+05+3.991866413836506200e-02j)
