# {'filename': '5AngAgSphere_20220414_201517', 'beam': {'qz': 199725854668.28848, 'v': 133707436.268, 'q_colector': 1997258546.682885, 'q_aperture': 1997258546.682885, 'lf': 1, 'li': 1}, 'specimen': {'pos': [5e-10, 0, 0], 'polsmultipliers': (1, 0, 0), 'shereradius': 5e-10, 'omega_p': 1.3825333775695496e+16, 'gamma_p': 227890117181793.88}, 'calculation': {'xrange': [-1e-08, 1e-08], 'yrange': [-1e-08, 1e-08], 'numxpoints': 50, 'numypoints': 50}, 'starttime': datetime.datetime(2022, 4, 14, 20, 15, 17, 224326), 'endtime': datetime.datetime(2022, 4, 15, 0, 25, 28, 562665)}
# omega	gamma
 (4.557802343635878000e+15+0.000000000000000000e+00j)  (3.279898424564372301e+08-3.432655969692894882e+00j)
 (4.743835092355710000e+15+0.000000000000000000e+00j)  (3.336000778789870739e+08-3.391263181598832332e+00j)
 (4.929867841075541000e+15+0.000000000000000000e+00j)  (3.424555660635024905e+08-3.368265124670419830e+00j)
 (5.115900589795373000e+15+0.000000000000000000e+00j)  (3.550413828057668805e+08-3.364196828234275571e+00j)
 (5.301933338515205000e+15+0.000000000000000000e+00j)  (3.720610248763933182e+08-3.380224455889115465e+00j)
 (5.487966087235037000e+15+0.000000000000000000e+00j)  (3.945232912778267264e+08-3.418286105261929109e+00j)
 (5.673998835954868000e+15+0.000000000000000000e+00j)  (4.238808838122877479e+08-3.481319858391588973e+00j)
 (5.860031584674700000e+15+0.000000000000000000e+00j)  (4.622568828867321610e+08-3.573626610160554495e+00j)
 (6.046064333394533000e+15+0.000000000000000000e+00j)  (5.128272796197233796e+08-3.701452227011847729e+00j)
 (6.232097082114364000e+15+0.000000000000000000e+00j)  (5.804945325882644653e+08-3.873944471146710811e+00j)
 (6.418129830834196000e+15+0.000000000000000000e+00j)  (6.731353526079121828e+08-4.104783538185880154e+00j)
 (6.604162579554027000e+15+0.000000000000000000e+00j)  (8.040600600234519243e+08-4.415093992929563171e+00j)
 (6.790195328273859000e+15+0.000000000000000000e+00j)  (9.972456411225882769e+08-4.838960887430109103e+00j)
 (6.976228076993692000e+15+0.000000000000000000e+00j)  (1.299600859363007307e+09-5.434675724309297351e+00j)
 (7.162260825713523000e+15+0.000000000000000000e+00j)  (1.813568933781543016e+09-6.309870517425599346e+00j)
 (7.348293574433354000e+15+0.000000000000000000e+00j)  (2.799946179346673965e+09-7.684472311977393666e+00j)
 (7.534326323153186000e+15+0.000000000000000000e+00j)  (5.092404381876168251e+09-1.006964135297484297e+01j)
 (7.720359071873018000e+15+0.000000000000000000e+00j)  (1.252522810548296738e+10-1.475118717980057248e+01j)
 (7.906391820592849000e+15+0.000000000000000000e+00j)  (5.122348456624508667e+10-1.768958153400997446e+01j)
 (8.092424569312682000e+15+0.000000000000000000e+00j)  (3.490200628449008179e+10+1.814587049472397595e+01j)
 (8.278457318032512000e+15+0.000000000000000000e+00j)  (8.210792259627391815e+09+1.164448283928350847e+01j)
 (8.464490066752345000e+15+0.000000000000000000e+00j)  (3.175494033942982674e+09+7.461344179103786445e+00j)
 (8.650522815472177000e+15+0.000000000000000000e+00j)  (1.598800382103280783e+09+5.299184827782332796e+00j)
 (8.836555564192009000e+15+0.000000000000000000e+00j)  (9.324180691640704870e+08+4.021308520793549945e+00j)
 (9.022588312911840000e+15+0.000000000000000000e+00j)  (5.964430362984081507e+08+3.187810571623972411e+00j)
 (9.208621061631672000e+15+0.000000000000000000e+00j)  (4.064655961324561834e+08+2.605606630581122740e+00j)
 (9.394653810351504000e+15+0.000000000000000000e+00j)  (2.900603020460740328e+08+2.178352081375552807e+00j)
 (9.580686559071334000e+15+0.000000000000000000e+00j)  (2.143768545742723942e+08+1.852993469261790871e+00j)
 (9.766719307791168000e+15+0.000000000000000000e+00j)  (1.628746117802020609e+08+1.598029757452485100e+00j)
 (9.952752056510998000e+15+0.000000000000000000e+00j)  (1.265380783682024628e+08+1.393623349384734755e+00j)
 (1.013878480523083000e+16+0.000000000000000000e+00j)  (1.001378430962954909e+08+1.226680425360950011e+00j)
 (1.032481755395066200e+16+0.000000000000000000e+00j)  (8.048454843024612963e+07+1.088220790557957285e+00j)
 (1.051085030267049400e+16+0.000000000000000000e+00j)  (6.555100698910292983e+07+9.718865594292116494e-01j)
 (1.069688305139032600e+16+0.000000000000000000e+00j)  (5.400334171067593247e+07+8.730542657191866507e-01j)
 (1.088291580011015800e+16+0.000000000000000000e+00j)  (4.493766287466614693e+07+7.882840426455206551e-01j)
 (1.106894854882999000e+16+0.000000000000000000e+00j)  (3.772575119017693400e+07+7.149657062003241803e-01j)
 (1.125498129754982000e+16+0.000000000000000000e+00j)  (3.192126165424564853e+07+6.510843633046694556e-01j)
 (1.144101404626965200e+16+0.000000000000000000e+00j)  (2.720088047197862342e+07+5.950610302939950413e-01j)
 (1.162704679498948400e+16+0.000000000000000000e+00j)  (2.332637296971321478e+07+5.456417130976479735e-01j)
 (1.181307954370931400e+16+0.000000000000000000e+00j)  (2.011949940752336383e+07+5.018186125055381641e-01j)
 (1.199911229242914800e+16+0.000000000000000000e+00j)  (1.744507127229660004e+07+4.627731159722914267e-01j)
 (1.218514504114897800e+16+0.000000000000000000e+00j)  (1.519928099771492556e+07+4.278338691752917589e-01j)
 (1.237117778986881200e+16+0.000000000000000000e+00j)  (1.330152174513780139e+07+3.964454782978315550e-01j)
 (1.255721053858864400e+16+0.000000000000000000e+00j)  (1.168856164902483858e+07+3.681448313735116717e-01j)
 (1.274324328730847600e+16+0.000000000000000000e+00j)  (1.031033454398195818e+07+3.425429643270155311e-01j)
 (1.292927603602830600e+16+0.000000000000000000e+00j)  (9.126858246196920052e+06+3.193110168688423345e-01j)
 (1.311530878474813800e+16+0.000000000000000000e+00j)  (8.105950849700898863e+06+2.981692438501724052e-01j)
 (1.330134153346796800e+16+0.000000000000000000e+00j)  (7.221519471807143651e+06+2.788783360755388574e-01j)
 (1.348737428218780000e+16+0.000000000000000000e+00j)  (6.452264675352307037e+06+2.612325048339846356e-01j)
 (1.367340703090763400e+16+0.000000000000000000e+00j)  (5.780690196312257089e+06+2.450539272637869970e-01j)
