# {'filename': '5nmAgSph_EE0MM0EM1_li-1_lf1_xp0.0', 'beam': {'qz': 199725854668.28848, 'v': 133707436.268, 'q_colector': 1997258546.682885, 'q_aperture': 1997258546.682885, 'lf': 1, 'li': -1}, 'specimen': {'pos': [0.0, 0, 0], 'polsmultipliers': (0, 0, 1), 'shereradius': 5e-10, 'omega_p': 1.3825333775695496e+16, 'gamma_p': 227890117181793.88}, 'calculation': {'xrange': [-1e-08, 1e-08], 'yrange': [-1e-08, 1e-08], 'numxpoints': 50, 'numypoints': 50}, 'starttime': datetime.datetime(2022, 4, 15, 22, 39, 1, 619480), 'endtime': datetime.datetime(2022, 4, 16, 3, 25, 9, 698598)}
# omega	gamma
 (6.000000000000000000e+15+0.000000000000000000e+00j)  (-1.382897370879655835e-09+1.945079658701920822e-10j)
 (6.081632653061224000e+15+0.000000000000000000e+00j)  (-1.092994840310165039e-09+4.910846494280608107e-10j)
 (6.163265306122448000e+15+0.000000000000000000e+00j)  (1.510974413812328003e-09+1.490000249104443501e-09j)
 (6.244897959183673000e+15+0.000000000000000000e+00j)  (-1.027901040115621463e-09-3.845578260447949191e-10j)
 (6.326530612244898000e+15+0.000000000000000000e+00j)  (-5.214145590480127300e-10+2.901911318575385345e-09j)
 (6.408163265306123000e+15+0.000000000000000000e+00j)  (7.535466514796893369e-10-4.646683625991585905e-10j)
 (6.489795918367347000e+15+0.000000000000000000e+00j)  (-8.690064736462797336e-10-7.168544226938574945e-10j)
 (6.571428571428571000e+15+0.000000000000000000e+00j)  (-4.121556684182560267e-09-4.208301217630704184e-09j)
 (6.653061224489796000e+15+0.000000000000000000e+00j)  (-6.495598537108136353e-10+1.780259794792844847e-09j)
 (6.734693877551020000e+15+0.000000000000000000e+00j)  (-3.065711288702547679e-09+7.099645538655893821e-11j)
 (6.816326530612244000e+15+0.000000000000000000e+00j)  (1.063548533699853541e-09-3.753622518903263732e-09j)
 (6.897959183673469000e+15+0.000000000000000000e+00j)  (1.490166608687652552e-09+1.196232255990200674e-09j)
 (6.979591836734693000e+15+0.000000000000000000e+00j)  (-1.740612575900739555e-09+6.605827156725897635e-10j)
 (7.061224489795919000e+15+0.000000000000000000e+00j)  (-5.583199343185303246e-09-6.980714236206309669e-09j)
 (7.142857142857143000e+15+0.000000000000000000e+00j)  (-2.336220014923865250e-10+1.203539131491232744e-09j)
 (7.224489795918367000e+15+0.000000000000000000e+00j)  (2.453328935996757764e-09-1.586063192528118046e-09j)
 (7.306122448979592000e+15+0.000000000000000000e+00j)  (-1.599639726461677551e-09+1.358346057305086379e-08j)
 (7.387755102040816000e+15+0.000000000000000000e+00j)  (2.116643560011934955e-09+6.641368631140109747e-09j)
 (7.469387755102040000e+15+0.000000000000000000e+00j)  (-6.226369177082373862e-09-4.954780820563637208e-09j)
 (7.551020408163265000e+15+0.000000000000000000e+00j)  (-1.271712725946533455e-09-2.891042025176073128e-08j)
 (7.632653061224490000e+15+0.000000000000000000e+00j)  (-1.656756022901115170e-08+2.681885034178739477e-08j)
 (7.714285714285714000e+15+0.000000000000000000e+00j)  (1.060543682509642605e-09+2.231904614654057536e-08j)
 (7.795918367346939000e+15+0.000000000000000000e+00j)  (-3.693979008180921257e-08+8.581472772474564853e-10j)
 (7.877551020408163000e+15+0.000000000000000000e+00j)  (1.414513373633157431e-07-8.376217545848911944e-08j)
 (7.959183673469388000e+15+0.000000000000000000e+00j)  (-2.820395818581101448e-07+8.498079608055209171e-08j)
 (8.040816326530612000e+15+0.000000000000000000e+00j)  (1.385540935751054646e-07+1.385013016542413239e-07j)
 (8.122448979591836000e+15+0.000000000000000000e+00j)  (3.761127826582742798e-08+2.755929998322346873e-08j)
 (8.204081632653062000e+15+0.000000000000000000e+00j)  (-4.529928873154435256e-08-1.720793922727061429e-08j)
 (8.285714285714285000e+15+0.000000000000000000e+00j)  (-1.289244124319252832e-08-1.858331855991717077e-08j)
 (8.367346938775511000e+15+0.000000000000000000e+00j)  (6.918290757153949627e-09+4.440645853907753709e-09j)
 (8.448979591836735000e+15+0.000000000000000000e+00j)  (-1.731519836959193765e-08-2.277513033254646325e-09j)
 (8.530612244897959000e+15+0.000000000000000000e+00j)  (-6.134833710698851279e-11+6.141665592527456100e-09j)
 (8.612244897959184000e+15+0.000000000000000000e+00j)  (-2.802747233636573760e-09-7.135413963904784802e-09j)
 (8.693877551020408000e+15+0.000000000000000000e+00j)  (-1.137384416802733001e-09-7.549444373361726701e-09j)
 (8.775510204081632000e+15+0.000000000000000000e+00j)  (-2.439980362339835496e-09+1.361613708977639090e-09j)
 (8.857142857142857000e+15+0.000000000000000000e+00j)  (-2.516651022574633555e-09+1.690948050714082106e-09j)
 (8.938775510204082000e+15+0.000000000000000000e+00j)  (1.366501482748832806e-10+2.790371977881462117e-09j)
 (9.020408163265306000e+15+0.000000000000000000e+00j)  (-1.151423502119722925e-09+2.669778386605521586e-10j)
 (9.102040816326530000e+15+0.000000000000000000e+00j)  (3.997687916690456381e-10+1.598854718176592681e-09j)
 (9.183673469387756000e+15+0.000000000000000000e+00j)  (-1.880657824286946455e-09-1.067285932539549540e-09j)
 (9.265306122448980000e+15+0.000000000000000000e+00j)  (-1.142651159485889234e-09+2.658453263363906979e-10j)
 (9.346938775510204000e+15+0.000000000000000000e+00j)  (-5.992153842169974930e-10-9.480001185795199064e-10j)
 (9.428571428571428000e+15+0.000000000000000000e+00j)  (2.941132676080124773e-10-5.137367717181837002e-10j)
 (9.510204081632654000e+15+0.000000000000000000e+00j)  (1.271406940234217352e-10+3.620312967059559635e-10j)
 (9.591836734693878000e+15+0.000000000000000000e+00j)  (2.999333330429012539e-10+1.824054606365988551e-10j)
 (9.673469387755102000e+15+0.000000000000000000e+00j)  (-1.641244722492529584e-10+8.896804471242614275e-10j)
 (9.755102040816326000e+15+0.000000000000000000e+00j)  (-2.617808925294490204e-10+2.221894894553372778e-10j)
 (9.836734693877552000e+15+0.000000000000000000e+00j)  (-1.860202382578180212e-10-1.930201179118093632e-10j)
 (9.918367346938776000e+15+0.000000000000000000e+00j)  (1.031006732992259357e-10-2.297438362119059572e-10j)
 (1.000000000000000000e+16+0.000000000000000000e+00j)  (-3.266967641567357719e-10+1.568793327543990399e-10j)
