# {'filename': '5nmAgSph_EE0MM0EM1_li1_lf1_xp4e-09', 'beam': {'qz': 199725854668.28848, 'v': 133707436.268, 'q_colector': 1997258546.682885, 'q_aperture': 1997258546.682885, 'lf': 1, 'li': 1}, 'specimen': {'pos': [4e-09, 0, 0], 'polsmultipliers': (0, 0, 1), 'shereradius': 5e-10, 'omega_p': 1.3825333775695496e+16, 'gamma_p': 227890117181793.88}, 'calculation': {'xrange': [-1e-08, 1e-08], 'yrange': [-1e-08, 1e-08], 'numxpoints': 50, 'numypoints': 50}, 'starttime': datetime.datetime(2022, 4, 15, 22, 34, 5, 336159), 'endtime': datetime.datetime(2022, 4, 16, 3, 21, 31, 838125)}
# omega	gamma
 (6.000000000000000000e+15+0.000000000000000000e+00j)  (2.249429664122955799e+08-5.251796442567081558e-01j)
 (6.081632653061224000e+15+0.000000000000000000e+00j)  (2.353663931788825393e+08-5.351397447601864421e-01j)
 (6.163265306122448000e+15+0.000000000000000000e+00j)  (2.472619028317268193e+08-5.463958796138226326e-01j)
 (6.244897959183673000e+15+0.000000000000000000e+00j)  (2.608865220581104457e+08-5.591094701881621498e-01j)
 (6.326530612244898000e+15+0.000000000000000000e+00j)  (2.765600002153760195e+08-5.734740809674561124e-01j)
 (6.408163265306123000e+15+0.000000000000000000e+00j)  (2.946840889823018909e+08-5.897234399274328132e-01j)
 (6.489795918367347000e+15+0.000000000000000000e+00j)  (3.157691678986629844e+08-6.081420035800713109e-01j)
 (6.571428571428571000e+15+0.000000000000000000e+00j)  (3.404716067251200080e+08-6.290790287580080298e-01j)
 (6.653061224489796000e+15+0.000000000000000000e+00j)  (3.696471207949269414e+08-6.529676112128107723e-01j)
 (6.734693877551020000e+15+0.000000000000000000e+00j)  (4.044284627796553373e+08-6.803507888485222921e-01j)
 (6.816326530612244000e+15+0.000000000000000000e+00j)  (4.463410287792495489e+08-7.119179681095350043e-01j)
 (6.897959183673469000e+15+0.000000000000000000e+00j)  (4.974791047008471489e+08-7.485566511497330211e-01j)
 (6.979591836734693000e+15+0.000000000000000000e+00j)  (5.607820062503134012e+08-7.914273974296205383e-01j)
 (7.061224489795919000e+15+0.000000000000000000e+00j)  (6.404803609761682749e+08-8.420748311470517278e-01j)
 (7.142857142857143000e+15+0.000000000000000000e+00j)  (7.428433982536034584e+08-9.025959869083439724e-01j)
 (7.224489795918367000e+15+0.000000000000000000e+00j)  (8.774824943873910904e+08-9.759021656746428297e-01j)
 (7.306122448979592000e+15+0.000000000000000000e+00j)  (1.059735793493646741e+09-1.066136956256734214e+00j)
 (7.387755102040816000e+15+0.000000000000000000e+00j)  (1.315280984184228420e+09-1.179359688030792164e+00j)
 (7.469387755102040000e+15+0.000000000000000000e+00j)  (1.689667561373394966e+09-1.324678248554067572e+00j)
 (7.551020408163265000e+15+0.000000000000000000e+00j)  (2.269621725500310898e+09-1.516085962487867755e+00j)
 (7.632653061224490000e+15+0.000000000000000000e+00j)  (3.235241509513782978e+09-1.774971490013101505e+00j)
 (7.714285714285714000e+15+0.000000000000000000e+00j)  (5.001245046505941391e+09-2.129992168741208225e+00j)
