# {'filename': '5nmAgsphere_20220412_211341', 'beam': {'qz': 199725854668.28848, 'v': 133707436.268, 'q_colector': 1997258546.682885, 'q_aperture': 1997258546.682885, 'lf': 1, 'li': 1}, 'specimen': {'pos': [2.8e-09, 0, 0], 'polsmultipliers': (1, 0, 0), 'shereradius': 5e-10, 'omega_p': 1.3825333775695496e+16, 'gamma_p': 227890117181793.88}, 'calculation': {'xrange': [-1e-08, 1e-08], 'yrange': [-1e-08, 1e-08], 'numxpoints': 50, 'numypoints': 50}, 'starttime': datetime.datetime(2022, 4, 12, 21, 13, 41, 943929), 'endtime': datetime.datetime(2022, 4, 12, 21, 49, 20, 1135)}
# omega	gamma
5.436654253441526308e-01 2.809459505268790958e-01
1.023339467042687634e-01 6.109949096054767548e-01
5.828726691409640281e-01 6.616194185637280789e-02
9.258095407480689820e-01 3.233655005859759068e-02
4.696906363881842017e-01 3.773757121136820381e-01
7.093099339019374172e-01 7.894813415486272579e-01
4.938662456482778573e-03 9.666569329346244022e-01
2.268239817193670183e-01 3.857621731987296299e-01
7.480327995575463129e-01 6.062578277931541804e-01
7.788758966699604880e-01 7.854007948806600581e-01
